,,,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RUSHING,RUSHING,RUSHING,MISC,STANDARD
Player,Season,Week,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,FPTS
DeAndre Carter (FA),2022,3,3,4,31,10.3,17,0,0,1,-5,0,0,2.6
Jaelon Darden (CLE),2022,3,1,1,25,25.0,25,1,0,0,0,0,0,2.5
Breshad Perriman (FA),2022,3,3,4,44,14.7,24,1,0,1,0,0,1,2.4
Allen Robinson II (LAR),2022,3,2,5,23,11.5,15,0,0,0,0,0,0,2.3
Darnell Mooney (CHI),2022,3,2,6,23,11.5,18,0,0,0,0,0,0,2.3
Brandin Cooks (DAL),2022,3,2,7,22,11.0,17,0,0,0,0,0,0,2.2
Jarvis Landry (FA),2022,3,2,5,22,11.0,13,0,0,0,0,0,0,2.2
Shi Smith (CAR),2022,3,2,2,22,11.0,24,1,0,0,0,0,0,2.2
Treylon Burks (TEN),2022,3,1,2,13,13.0,13,0,0,1,8,0,0,2.1
Nelson Agholor (BAL),2022,3,2,3,41,20.5,28,1,0,0,0,0,1,2.1
David Sills V (NYG),2022,3,2,4,20,10.0,14,0,0,0,0,0,0,2.0
Zach Pascal (ARI),2022,3,3,3,18,6.0,13,0,0,1,0,0,0,1.8
Jamal Agnew (JAC),2022,3,1,1,17,17.0,17,0,0,0,0,0,0,1.7
Jerry Jeudy (DEN),2022,3,2,6,17,8.5,16,0,0,0,0,0,0,1.7
DJ Moore (CHI),2022,3,1,6,2,2.0,2,0,0,2,13,0,0,1.5
Phillip Dorsett II (LV),2022,3,1,1,15,15.0,15,0,0,0,0,0,0,1.5
Penny Hart (SEA),2022,3,1,1,15,15.0,15,0,0,0,0,0,0,1.5
Chosen Anderson (FA),2022,3,1,4,14,14.0,14,0,0,0,0,0,0,1.4
Jake Kumerow (FA),2022,3,2,2,14,7.0,10,0,0,0,0,0,0,1.4
Justin Jefferson (MIN),2022,3,3,6,14,4.7,6,0,0,0,0,0,0,1.4
Andre Baccellia (ARI),2022,3,2,4,13,6.5,10,0,0,0,0,0,0,1.3
Keelan Cole Sr. (LV),2022,3,1,4,12,12.0,12,0,0,0,0,0,0,1.2
Cole Beasley (BUF),2022,3,3,4,12,4.0,5,0,0,0,0,0,0,1.2
Simi Fehoko (DAL),2022,3,1,1,12,12.0,12,0,0,0,0,0,0,1.2
Dax Milne (WAS),2022,3,1,1,12,12.0,12,0,0,0,0,0,0,1.2
Ray-Ray McCloud III (SF),2022,3,1,1,11,11.0,11,0,0,0,0,0,0,1.1
Andy Isabella (BAL),2022,3,1,2,11,11.0,11,0,0,0,0,0,0,1.1
Byron Pringle (FA),2022,3,1,1,11,11.0,11,0,0,0,0,0,0,1.1
Donovan Peoples-Jones (CLE),2022,3,1,3,10,10.0,10,0,0,0,0,0,0,1.0
Parris Campbell (NYG),2022,3,2,2,10,5.0,8,0,0,0,0,0,0,1.0
Jahan Dotson (WAS),2022,3,2,8,10,5.0,7,0,0,0,0,0,0,1.0
Jamison Crowder (NYG),2022,3,1,3,9,9.0,9,0,0,0,0,0,0,0.9
Ashton Dulin (IND),2022,3,1,1,7,7.0,7,0,0,0,0,0,0,0.7
David Bell (CLE),2022,3,1,1,6,6.0,6,0,0,0,0,0,0,0.6
Jauan Jennings (SF),2022,3,1,3,5,5.0,5,0,0,0,0,0,0,0.5
Trent Sherfield (BUF),2022,3,1,1,5,5.0,5,0,0,0,0,0,0,0.5
Kalif Raymond (DET),2022,3,1,1,4,4.0,4,0,0,0,0,0,0,0.4
Scotty Miller (FA),2022,3,1,5,4,4.0,4,0,0,0,0,0,0,0.4
Jalen Tolbert (DAL),2022,3,1,2,4,4.0,4,0,0,0,0,0,0,0.4
Mecole Hardman (NYJ),2022,3,1,1,2,2.0,2,0,0,0,0,0,0,0.2
Jalen Reagor (MIN),2022,3,1,1,2,2.0,2,0,0,0,0,0,0,0.2
Dyami Brown (WAS),2022,3,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Quez Watkins (PHI),2022,3,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Amari Rodgers (HOU),2022,3,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Tutu Atwell (LAR),2022,3,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Justin Watson (FA),2022,3,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Gunner Olszewski (PIT),2022,3,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Quintez Cephus (DET),2022,3,0,0,0,0.0,0,0,0,0,0,0,0,0.0
KJ Hamler (DEN),2022,3,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Juwann Winfree (FA),2022,3,0,2,0,0.0,0,0,0,0,0,0,0,0.0
Miles Boykin (FA),2022,3,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Stanley Morgan Jr. (CIN),2022,3,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Lil'Jordan Humphrey (DEN),2022,3,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Cody Thompson (SEA),2022,3,0,0,0,0.0,0,0,0,0,0,0,0,0.0
KaVontae Turpin (DAL),2022,3,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Britain Covey (PHI),2022,3,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Tim Jones (JAC),2022,3,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Montrell Washington (DEN),2022,3,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Jacob Harris (LAR),2022,3,0,0,0,0.0,0,0,0,0,0,0,0,0.0
A.J. Green (FA),2022,3,0,2,0,0.0,0,0,0,0,0,0,0,0.0
Kenny Golladay (FA),2022,3,0,3,0,0.0,0,0,0,0,0,0,0,0.0
Chester Rogers (FA),2022,3,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Dante Pettis (FA),2022,3,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Trent Taylor (CIN),2022,3,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Demarcus Robinson (FA),2022,3,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Braxton Berrios (MIA),2022,3,0,1,0,0.0,0,0,0,1,-2,0,0,-0.2
Skyy Moore (KC),2022,3,0,0,0,0.0,0,0,0,0,0,0,1,-2.0
Mike Evans (TB),2022,4,8,10,103,12.9,30,2,2,0,0,0,0,22.3
Justin Jefferson (MIN),2022,4,10,13,147,14.7,41,5,0,1,3,1,0,21.0
