Player,TEAM,POS,DPCHT,G,pass_CMP,pass_CMP_mean,pass_ATT,pass_ATT_mean,pass_PCT,pass_YDS,pass_YDS_mean,pass_Y/A,pass_TD,pass_TD_mean,pass_INT,pass_INT_mean,pass_SACKS,pass_SACKS_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_TD,rush_TD_mean,FL,FL_mean,OPP,OPP_mean,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE
Jordan Love,GB,QB,2.0,4.57,20.29,4.21,32.71,6.7,0.64,256.71,54.39,8.53,1.29,0.27,0.86,0.14,0.86,0.14,4.14,0.75,7.0,1.11,-0.07,0.0,0.0,0.29,0.05,36.86,7.45,0.69,15.27,3.24,1.38,4.38,3.66,4.29,0.29,0.0,0.0,0.0,0.0,0.0,2.09,15.27,3.24,1.38,4.38,3.66,4.29,0.29,0.0,0.0,0.0,0.0,0.0,2.09,15.27,3.24,1.38,4.38,3.66,4.29,0.29,0.0,0.0,0.0,0.0,0.0,2.09,2
Case Keenum,HOU,QB,2.0,3.05,19.61,3.81,32.76,7.17,0.41,190.52,34.21,3.01,1.17,0.19,0.44,0.07,1.82,0.31,6.39,2.17,5.89,1.13,0.5,0.04,0.0,0.36,0.06,39.15,9.33,0.53,11.92,2.07,1.48,2.16,2.32,2.36,0.53,0.12,0.0,0.04,0.03,0.01,1.85,11.92,2.07,1.48,2.16,2.32,2.36,0.53,0.12,0.0,0.04,0.03,0.01,1.85,11.92,2.07,1.48,2.16,2.32,2.36,0.53,0.12,0.0,0.04,0.03,0.01,1.85,4
Brandon Allen,FA,QB,11.0,2.46,16.44,4.97,27.52,7.42,0.82,161.67,45.88,6.48,1.1,0.24,0.47,0.11,2.65,1.07,5.25,2.58,3.33,0.38,0.12,0.0,0.0,0.1,0.02,32.77,10.0,0.44,10.53,2.68,2.04,2.18,2.24,2.18,0.14,0.04,0.1,0.0,0.04,0.03,1.61,10.53,2.68,2.04,2.18,2.24,2.18,0.14,0.04,0.1,0.0,0.04,0.03,1.61,10.53,2.68,2.04,2.18,2.24,2.18,0.14,0.04,0.1,0.0,0.04,0.03,1.61,4
Tim Boyle,FA,QB,10.0,2.51,16.37,5.03,28.24,10.77,0.34,150.47,52.91,4.06,0.74,0.18,2.71,1.6,0.1,0.01,3.2,1.58,0.81,-0.63,0.86,0.0,0.0,0.0,0.0,31.44,12.35,0.44,6.84,1.31,0.85,2.22,1.74,2.26,0.0,0.25,0.0,0.0,0.08,0.0,1.34,6.84,1.31,0.85,2.22,1.74,2.26,0.0,0.25,0.0,0.0,0.08,0.0,1.34,6.84,1.31,0.85,2.22,1.74,2.26,0.0,0.25,0.0,0.0,0.08,0.0,1.34,4
Chase Daniel,FA,QB,17.0,2.68,9.56,2.71,14.15,4.03,0.51,75.17,20.6,3.54,0.83,0.25,0.28,0.07,1.19,0.33,1.54,0.79,3.78,0.77,3.04,0.0,0.0,0.0,0.0,15.69,4.82,0.51,7.69,2.26,0.92,3.02,2.69,2.61,0.08,0.0,0.0,0.0,0.0,0.0,1.23,7.69,2.26,0.92,3.02,2.69,2.61,0.08,0.0,0.0,0.0,0.0,0.0,1.23,7.69,2.26,0.92,3.02,2.69,2.61,0.08,0.0,0.0,0.0,0.0,0.0,1.23,4
Garrett Gilbert,NE,QB,3.0,1.77,18.21,15.51,29.92,24.79,0.56,186.67,155.51,5.65,0.26,0.13,0.26,0.13,1.79,1.54,1.08,0.44,6.87,3.54,2.29,0.0,0.0,0.0,0.0,31.0,25.23,0.37,8.94,6.98,6.98,2.82,1.77,1.51,0.0,0.26,0.0,0.0,0.26,0.0,1.04,8.94,6.98,6.98,2.82,1.77,1.51,0.0,0.26,0.0,0.0,0.26,0.0,1.04,8.94,6.98,6.98,2.82,1.77,1.51,0.0,0.26,0.0,0.0,0.26,0.0,1.04,4
C.J. Beathard,JAC,QB,2.0,3.59,11.31,2.41,17.51,3.65,0.7,107.22,22.38,6.77,0.59,0.1,0.62,0.15,1.5,0.3,3.3,0.84,0.79,0.09,0.34,0.0,0.0,0.3,0.05,20.81,4.48,0.6,5.52,1.04,0.9,1.01,1.19,3.39,0.1,0.1,0.0,0.0,0.02,0.0,0.97,5.52,1.04,0.9,1.01,1.19,3.39,0.1,0.1,0.0,0.0,0.02,0.0,0.97,5.52,1.04,0.9,1.01,1.19,3.39,0.1,0.1,0.0,0.0,0.02,0.0,0.97,4
Nathan Peterman,FA,QB,15.0,2.28,9.28,3.3,16.54,5.85,0.42,91.67,32.26,4.08,0.64,0.21,0.64,0.21,0.85,0.42,1.9,1.04,5.92,2.93,3.42,0.0,0.0,0.0,0.0,18.44,6.9,0.46,6.21,2.23,0.25,3.44,2.13,2.28,0.0,0.0,0.0,0.0,0.0,0.0,0.86,6.21,2.23,0.25,3.44,2.13,2.28,0.0,0.0,0.0,0.0,0.0,0.0,0.86,6.21,2.23,0.25,3.44,2.13,2.28,0.0,0.0,0.0,0.0,0.0,0.0,0.86,3
Brian Hoyer,FA,QB,14.0,2.14,8.15,5.28,11.33,7.11,0.8,106.16,49.71,9.64,0.4,0.08,0.26,0.13,1.01,0.85,3.12,0.7,-1.1,0.41,0.62,0.0,0.0,0.14,0.11,14.45,7.82,0.41,5.24,2.02,1.86,1.04,0.95,2.1,0.0,0.04,0.0,0.0,0.01,0.0,0.64,5.24,2.02,1.86,1.04,0.95,2.1,0.0,0.04,0.0,0.0,0.01,0.0,0.64,5.24,2.02,1.86,1.04,0.95,2.1,0.0,0.04,0.0,0.0,0.01,0.0,0.64,4
Chad Henne,FA,QB,18.0,3.17,5.47,1.6,8.92,2.65,0.24,44.63,13.19,1.9,0.2,0.07,0.0,0.0,0.2,0.07,5.74,1.75,-3.28,-1.09,-0.64,0.1,0.03,0.0,0.0,14.66,4.39,0.57,2.84,0.88,0.47,1.37,0.77,3.07,0.0,0.1,0.0,0.0,0.05,0.0,0.59,2.84,0.88,0.47,1.37,0.77,3.07,0.0,0.1,0.0,0.0,0.05,0.0,0.59,2.84,0.88,0.47,1.37,0.77,3.07,0.0,0.1,0.0,0.0,0.05,0.0,0.59,4
