Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE
Terrace Marshall Jr. ,CAR,WR,5.0,12.71,24.86,1.94,42.14,3.3,389.43,30.21,14.82,37.29,18.67,12.43,0.96,0.71,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.86,1.94,42.14,3.3,0.0,0.0,0.0,1.0,43.8,3.4,2.54,2.78,4.11,10.57,1.43,0.71,0.0,0.0,0.06,0.0,3.35,56.23,4.37,3.91,3.26,5.25,10.57,1.43,0.71,0.0,0.0,0.06,0.0,4.48,68.66,5.34,4.34,3.78,6.39,9.57,1.71,1.43,0.0,0.0,0.13,0.0,5.22,2
Isaiah McKenzie ,IND,WR,3.0,15.71,34.81,2.2,51.93,3.27,342.1,21.61,9.69,31.71,10.75,4.01,0.25,3.24,0.2,9.06,0.57,48.26,3.07,5.38,0.86,0.05,43.87,2.78,60.99,3.86,0.25,0.02,0.01,1.0,64.2,4.05,2.5,4.95,4.33,11.71,2.39,0.04,1.23,0.34,0.11,0.14,3.55,81.6,5.15,3.45,5.87,5.44,11.09,3.0,0.04,1.23,0.34,0.11,0.15,4.48,99.01,6.25,4.49,6.83,6.55,10.48,3.0,0.66,0.62,0.96,0.17,0.16,5.47,4
Nelson Agholor ,BAL,WR,2.0,14.94,34.47,2.32,59.2,3.98,441.99,29.44,12.55,48.0,15.95,11.73,0.78,2.88,0.19,0.82,0.06,2.99,0.21,1.04,0.0,0.0,35.29,2.37,60.01,4.03,1.27,0.08,0.04,1.0,59.3,3.95,1.97,4.95,4.19,11.82,0.38,1.65,0.99,0.1,0.24,0.11,3.33,76.53,5.11,3.27,5.79,5.39,11.47,0.73,0.79,1.2,0.75,0.24,0.18,4.47,93.76,6.26,4.72,6.66,6.59,10.68,1.52,0.79,1.16,0.79,0.24,0.21,5.67,4
Demarcus Robinson ,FA,WR,7.0,15.66,41.41,2.63,64.26,4.08,410.65,26.13,10.05,31.71,12.9,5.23,0.33,2.42,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.41,2.63,64.26,4.08,0.71,0.04,0.01,1.0,54.18,3.46,2.16,3.67,3.98,11.94,2.43,1.25,0.0,0.04,0.09,0.0,3.22,74.88,4.77,3.44,4.43,5.4,10.47,3.9,0.63,0.62,0.04,0.09,0.06,4.45,95.59,6.09,4.68,5.3,6.76,10.99,2.76,1.25,0.62,0.04,0.14,0.06,5.65,4
Chris Moore ,FA,WR,12.0,12.55,34.85,2.5,51.18,3.59,394.18,28.14,9.97,49.03,15.91,11.58,0.83,1.72,0.13,1.89,0.13,1.85,0.12,0.62,0.0,0.0,36.73,2.62,53.07,3.72,0.0,0.0,0.0,0.95,49.95,3.61,2.2,3.65,4.06,8.98,1.85,1.48,0.25,0.0,0.15,0.03,3.26,67.37,4.86,3.46,4.35,5.37,8.98,1.85,0.86,0.86,0.0,0.15,0.09,4.42,84.79,6.11,5.18,5.11,6.66,8.11,2.71,0.86,0.25,0.62,0.15,0.1,5.77,4
Kadarius Toney ,KC,WR,2.0,9.0,22.57,2.51,30.57,3.39,242.14,26.91,10.71,38.0,11.59,5.57,0.62,1.43,0.16,5.86,0.65,60.29,6.7,8.94,0.71,0.08,28.43,3.16,36.43,4.05,0.71,0.08,0.03,0.93,41.9,4.66,2.61,5.49,4.84,6.29,1.0,0.71,0.71,0.29,0.24,0.16,3.63,53.19,5.91,3.1,6.2,6.12,5.29,1.71,1.0,0.71,0.29,0.29,0.19,4.4,64.47,7.17,4.23,6.96,7.41,6.0,1.0,1.0,0.71,0.29,0.29,0.17,5.4,2
Marquise Goodwin ,CLE,WR,4.0,13.1,24.43,1.87,40.54,3.09,357.99,27.35,14.74,41.28,15.06,9.74,0.74,3.05,0.24,1.96,0.15,3.8,0.31,2.23,0.0,0.0,26.39,2.02,42.49,3.24,0.0,0.0,0.0,1.0,54.47,4.17,2.15,5.5,4.31,10.73,0.0,0.68,1.0,0.68,0.23,0.16,3.38,66.69,5.11,3.06,6.09,5.29,10.01,0.73,0.68,1.0,0.68,0.23,0.18,4.24,78.91,6.04,3.97,6.72,6.29,9.73,1.68,0.0,1.0,0.68,0.15,0.18,5.05,4
Jamison Crowder ,NYG,WR,6.0,7.23,25.14,2.65,39.07,4.49,248.74,26.2,9.9,25.41,13.83,3.0,0.24,1.32,0.11,0.14,0.01,1.54,0.13,1.54,0.0,0.0,25.28,2.66,39.21,4.5,0.25,0.02,0.0,0.78,34.0,3.35,2.68,2.46,4.07,5.24,0.73,0.71,0.41,0.14,0.15,0.1,3.16,46.57,4.68,3.86,3.11,5.53,5.14,0.58,0.63,0.54,0.33,0.18,0.16,4.23,59.15,6.0,5.06,3.8,6.96,4.36,1.26,0.63,0.56,0.41,0.21,0.21,5.31,4
Jauan Jennings ,SF,WR,3.0,15.14,31.86,2.09,50.86,3.33,377.71,24.77,11.85,41.14,13.89,5.71,0.38,2.14,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.86,2.09,50.86,3.33,0.0,0.0,0.0,1.0,50.63,3.41,2.19,3.7,3.92,12.57,1.57,0.71,0.0,0.29,0.07,0.03,3.12,66.56,4.45,3.19,4.39,5.06,12.57,1.57,0.71,0.0,0.29,0.07,0.03,4.09,82.49,5.49,4.19,5.11,6.19,11.86,2.29,0.0,0.71,0.29,0.07,0.09,5.06,2
Kenny Golladay ,FA,WR,8.0,8.27,17.34,1.82,36.91,4.0,258.4,27.07,14.17,31.95,13.01,4.48,0.45,1.25,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.34,1.82,36.91,4.0,0.04,0.0,0.0,0.84,33.24,3.72,3.06,3.7,4.17,6.04,1.19,0.84,0.04,0.16,0.48,0.05,3.31,41.91,4.63,4.04,4.28,5.15,6.04,1.19,0.8,0.04,0.2,0.48,0.06,4.06,50.58,5.54,4.98,4.89,6.13,5.55,1.68,0.28,0.56,0.2,0.48,0.3,4.87,4
