Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Maxx Williams ,FA,TE,36.0,9,8,0.89,10,1.11,102,11.33,12.75,42,9.56,4,0.44,1,0.11,0,0.0,0,0.0,0.0,0,0.0,8,0.89,10,1.11,0,0.0,0.0,1.0,16.2,1.8,1.0,2.28,2.09,8,1,0,0,0,0.0,0.0,1.5,20.2,2.24,2.0,2.52,2.63,9,0,0,0,0,0.0,0.0,2.2,24.2,2.69,3.0,2.82,3.17,9,0,0,0,0,0.0,0.0,2.89
Ryan Izzo ,FA,TE,25.0,12,13,1.08,20,1.67,199,16.58,15.31,50,13.0,6,0.5,0,0.0,0,0.0,0,0.0,0.0,0,0.0,13,1.08,20,1.67,1,0.08,0.08,1.0,17.9,1.49,1.3,1.7,1.87,12,0,0,0,0,0.0,0.0,1.59,24.4,2.03,1.9,2.07,2.51,12,0,0,0,0,0.0,0.0,2.15,30.9,2.58,2.4,2.48,3.14,12,0,0,0,0,0.0,0.0,2.66
Ian Thomas ,CAR,TE,2.0,16,20,1.25,31,1.94,145,9.06,7.25,21,6.62,1,0.06,1,0.06,0,0.0,0,0.0,0.0,0,0.0,20,1.25,31,1.94,0,0.0,0.0,1.0,20.5,1.28,0.85,1.69,1.61,15,1,0,0,0,0.0,0.0,1.3,30.5,1.91,1.35,2.09,2.34,15,1,0,0,0,0.0,0.0,1.86,40.5,2.53,1.85,2.54,3.06,15,1,0,0,0,0.0,0.0,2.41
Pharaoh Brown ,FA,TE,33.0,13,14,1.08,16,1.23,163,12.54,11.64,29,8.77,2,0.15,2,0.15,0,0.0,0,0.0,0.0,0,0.0,14,1.08,16,1.23,0,0.0,0.0,1.0,28.3,2.18,0.4,3.45,2.28,11,1,1,0,0,0.08,0.0,1.37,35.3,2.72,0.9,4.12,2.82,11,1,1,0,0,0.08,0.0,1.84,42.3,3.25,1.4,4.8,3.36,11,1,1,0,0,0.08,0.0,2.31
Adam Trautman ,NO,TE,3.0,15,15,1.0,16,1.07,171,11.4,11.4,41,9.73,4,0.27,1,0.07,0,0.0,0,0.0,0.0,0,0.0,15,1.0,16,1.07,0,0.0,0.0,1.0,23.1,1.54,0.8,2.61,1.73,14,0,1,0,0,0.07,0.0,1.28,30.6,2.04,1.3,3.01,2.29,14,0,1,0,0,0.07,0.0,1.76,38.1,2.54,1.8,3.45,2.85,14,0,1,0,0,0.07,0.0,2.23
Marcedes Lewis ,FA,TE,35.0,15,10,0.67,17,1.13,107,7.13,10.7,36,6.8,2,0.13,3,0.2,0,0.0,0,0.0,0.0,0,0.0,10,0.67,17,1.13,0,0.0,0.0,1.0,28.7,1.91,0.6,2.89,2.1,12,3,0,0,0,0.0,0.0,1.33,33.7,2.25,1.1,3.11,2.5,13,2,0,0,0,0.0,0.0,1.73,38.7,2.58,1.6,3.34,2.92,13,2,0,0,0,0.0,0.0,2.15
Adam Shaheen ,FA,TE,29.5,16,12,0.75,22,1.38,150,9.38,12.5,43,8.25,4,0.25,3,0.19,0,0.0,0,0.0,0.0,0,0.0,12,0.75,22,1.38,0,0.0,0.0,1.0,33.0,2.06,0.35,3.24,2.2,13,2,1,0,0,0.07,0.0,1.32,39.0,2.44,0.85,3.59,2.62,14,1,1,0,0,0.07,0.0,1.73,45.0,2.81,1.35,3.95,3.05,15,0,1,0,0,0.07,0.0,2.15
Kaden Smith ,FA,TE,28.0,15,18,1.2,21,1.4,112,7.47,6.22,16,6.87,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,18,1.2,21,1.4,0,0.0,0.0,1.0,11.2,0.75,0.7,0.62,1.2,15,0,0,0,0,0.0,0.0,1.0,20.2,1.35,1.2,0.89,2.05,15,0,0,0,0,0.0,0.0,1.6,29.2,1.95,1.8,1.22,2.83,15,0,0,0,0,0.0,0.0,2.22
Donald Parham Jr. ,LAC,TE,2.0,13,10,0.77,20,1.54,159,12.23,15.9,26,8.77,4,0.31,3,0.23,0,0.0,0,0.0,0.0,0,0.0,10,0.77,20,1.54,0,0.0,0.0,1.0,33.9,2.61,0.0,3.69,2.69,10,2,1,0,0,0.08,0.0,1.41,38.9,2.99,0.0,4.09,3.11,10,2,1,0,0,0.08,0.0,1.6,43.9,3.38,0.0,4.51,3.54,10,2,1,0,0,0.08,0.0,1.79
Jesse James ,FA,TE,29.5,16,14,0.88,22,1.38,129,8.06,9.21,31,7.0,3,0.19,2,0.12,0,0.0,0,0.0,0.0,0,0.0,14,0.88,22,1.38,0,0.0,0.0,1.0,24.9,1.56,0.3,2.64,1.75,14,2,0,0,0,0.0,0.0,1.06,31.9,1.99,0.8,2.93,2.25,14,2,0,0,0,0.0,0.0,1.51,38.9,2.43,1.3,3.24,2.77,15,1,0,0,0,0.0,0.0,1.97
Jace Sternberger ,FA,TE,32.0,12,12,1.0,15,1.25,114,9.5,9.5,27,5.92,2,0.17,1,0.08,0,0.0,0,0.0,0.0,0,0.0,12,1.0,15,1.25,0,0.0,0.0,1.0,17.4,1.45,0.05,2.22,1.7,11,1,0,0,0,0.0,0.0,0.91,23.4,1.95,0.3,2.69,2.25,12,0,0,0,0,0.0,0.0,1.27,29.4,2.45,0.55,3.22,2.79,12,0,0,0,0,0.0,0.0,1.63
Tyler Conklin ,NYJ,TE,2.0,16,19,1.19,26,1.62,194,12.12,10.21,30,6.06,3,0.19,1,0.06,0,0.0,0,0.0,0.0,0,0.0,19,1.19,26,1.62,0,0.0,0.0,1.0,25.4,1.59,0.0,3.06,1.72,15,0,1,0,0,0.07,0.0,0.97,34.9,2.18,0.0,3.69,2.33,15,0,1,0,0,0.07,0.0,1.24,44.4,2.78,0.0,4.39,2.93,14,1,1,0,0,0.07,0.0,1.51
Virgil Green ,FA,TE,39.5,6,3,0.5,6,1.0,50,8.33,16.67,26,8.33,1,0.17,1,0.17,0,0.0,0,0.0,0.0,0,0.0,3,0.5,6,1.0,0,0.0,0.0,0.85,11.0,1.83,0.5,3.37,1.94,5,1,0,0,0,0.0,0.0,1.01,12.5,2.08,0.75,3.54,2.25,5,1,0,0,0,0.0,0.0,1.22,14.0,2.33,1.0,3.72,2.57,5,1,0,0,0,0.0,0.0,1.44
Troy Fumagalli ,FA,TE,23.0,8,8,1.0,15,1.88,80,10.0,10.0,29,6.38,1,0.12,1,0.12,0,0.0,0,0.0,0.0,0,0.0,8,1.0,15,1.88,0,0.0,0.0,0.95,14.0,1.75,0.0,2.96,1.91,7,1,0,0,0,0.0,0.0,1.0,18.0,2.25,0.0,3.58,2.42,6,2,0,0,0,0.0,0.0,1.22,22.0,2.75,0.0,4.25,2.93,6,2,0,0,0,0.0,0.0,1.44
Jason Witten ,FA,TE,37.0,16,13,0.81,17,1.06,69,4.31,5.31,15,3.38,0,0.0,2,0.12,0,0.0,0,0.0,0.0,0,0.0,13,0.81,17,1.06,0,0.0,0.0,1.0,18.9,1.18,0.1,2.34,1.37,14,2,0,0,0,0.0,0.0,0.77,25.4,1.59,0.6,2.59,1.85,15,1,0,0,0,0.0,0.0,1.21,31.9,1.99,1.1,2.87,2.34,15,1,0,0,0,0.0,0.0,1.65
Vance McDonald ,FA,TE,27.0,14,15,1.07,20,1.43,99,7.07,6.6,15,3.93,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,15,1.07,20,1.43,0,0.0,0.0,1.0,9.9,0.71,0.25,1.2,0.97,14,0,0,0,0,0.0,0.0,0.69,17.4,1.24,0.75,1.89,1.57,14,0,0,0,0,0.0,0.0,1.19,24.9,1.78,1.25,2.59,2.14,13,1,0,0,0,0.0,0.0,1.67
Geoff Swaim ,FA,TE,34.0,10,9,0.9,12,1.2,83,8.3,9.22,16,4.5,0,0.0,1,0.1,0,0.0,0,0.0,0.0,0,0.0,9,0.9,12,1.2,0,0.0,0.0,1.0,14.3,1.43,0.0,2.96,1.56,9,1,0,0,0,0.0,0.0,0.82,18.8,1.88,0.0,3.49,2.03,9,0,1,0,0,0.11,0.0,1.09,23.3,2.33,0.0,4.06,2.51,9,0,1,0,0,0.11,0.0,1.3
Darrell Daniels ,FA,TE,43.0,12,8,0.67,11,0.92,92,7.67,11.5,31,6.42,3,0.25,1,0.08,0,0.0,0,0.0,0.0,0,0.0,8,0.67,11,0.92,0,0.0,0.0,1.0,15.2,1.27,0.05,2.46,1.45,11,1,0,0,0,0.0,0.0,0.77,19.2,1.6,0.3,2.68,1.85,11,1,0,0,0,0.0,0.0,1.06,23.2,1.93,0.55,2.94,2.26,11,1,0,0,0,0.0,0.0,1.35
Juwan Johnson ,NO,TE,2.0,7,4,0.57,10,1.43,39,5.57,9.75,19,5.57,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,4,0.57,10,1.43,0,0.0,0.0,0.9,3.9,0.56,0.4,0.71,0.87,7,0,0,0,0,0.0,0.0,0.64,5.9,0.84,0.9,0.93,1.27,7,0,0,0,0,0.0,0.0,1.01,7.9,1.13,1.4,1.16,1.66,7,0,0,0,0,0.0,0.0,1.37
Foster Moreau ,FA,TE,54.0,16,7,0.44,9,0.56,140,8.75,20.0,47,8.69,7,0.44,2,0.12,0,0.0,0,0.0,0.0,0,0.0,7,0.44,9,0.56,0,0.0,0.0,1.0,26.0,1.62,0.0,3.27,1.73,14,1,1,0,0,0.07,0.0,0.87,29.5,1.84,0.0,3.51,1.99,14,1,1,0,0,0.07,0.0,0.99,33.0,2.06,0.0,3.76,2.26,14,2,0,0,0,0.0,0.0,1.07
MyCole Pruitt ,FA,TE,47.0,11,5,0.45,8,0.73,49,4.45,9.8,22,3.91,1,0.09,2,0.18,0,0.0,0,0.0,0.0,0,0.0,5,0.45,8,0.73,0,0.0,0.0,1.0,16.9,1.54,0.0,2.86,1.69,9,2,0,0,0,0.0,0.0,0.83,19.4,1.76,0.0,3.07,1.97,10,1,0,0,0,0.0,0.0,0.96,21.9,1.99,0.0,3.29,2.26,10,1,0,0,0,0.0,0.0,1.09
Blake Bell ,KC,TE,2.0,16,11,0.69,15,0.94,110,6.88,10.0,24,5.75,1,0.06,0,0.0,1,0.06,2,0.12,2.0,0,0.0,12,0.75,16,1.0,0,0.0,0.0,1.0,11.2,0.7,0.1,1.04,0.99,16,0,0,0,0,0.0,0.0,0.59,16.7,1.04,0.4,1.35,1.43,16,0,0,0,0,0.0,0.0,0.92,22.2,1.39,0.9,1.68,1.86,16,0,0,0,0,0.0,0.0,1.34
Nick Vannett ,NYG,TE,3.0,15,14,0.93,21,1.4,95,6.33,6.79,19,4.93,0,0.0,1,0.07,0,0.0,0,0.0,0.0,0,0.0,14,0.93,21,1.4,0,0.0,0.0,1.0,15.5,1.03,0.0,2.12,1.22,14,1,0,0,0,0.0,0.0,0.69,22.5,1.5,0.0,2.65,1.74,14,1,0,0,0,0.0,0.0,0.92,29.5,1.97,0.4,3.2,2.25,14,0,1,0,0,0.07,0.0,1.37
Lee Smith ,FA,TE,52.5,10,4,0.4,6,0.6,35,3.5,8.75,27,3.1,1,0.1,2,0.2,0,0.0,0,0.0,0.0,0,0.0,4,0.4,6,0.6,0,0.0,0.0,1.0,15.5,1.55,0.0,3.27,1.65,8,2,0,0,0,0.0,0.0,0.8,17.5,1.75,0.0,3.58,1.88,9,1,0,0,0,0.0,0.0,0.91,19.5,1.95,0.0,3.91,2.12,9,1,0,0,0,0.0,0.0,1.01
Taysom Hill ,NO,TE,1.0,16,8,0.5,13,0.81,98,6.12,12.25,21,5.5,2,0.12,1,0.06,87,5.44,457,28.56,5.25,8,0.5,95,5.94,100,6.25,5,0.31,0.05,1.0,0.0,0.0,0.0,0.0,0.0,16,0,0,0,0,0.0,0.0,0.62,4.0,0.25,0.0,0.32,0.49,16,0,0,0,0,0.0,0.0,0.85,8.0,0.5,0.0,0.63,0.86,16,0,0,0,0,0.0,0.0,1.01
Devin Asiasi ,CIN,TE,1.0,8,2,0.25,7,0.88,39,4.88,19.5,26,3.25,1,0.12,1,0.12,0,0.0,0,0.0,0.0,0,0.0,2,0.25,7,0.88,0,0.0,0.0,0.95,9.9,1.24,0.0,3.5,1.29,7,0,1,0,0,0.14,0.0,0.71,10.9,1.36,0.0,3.85,1.44,7,0,1,0,0,0.14,0.0,0.77,11.9,1.49,0.0,4.21,1.59,7,1,0,0,0,0.0,0.0,0.76
Dominique Dafney ,TB,TE,1.0,5,2,0.4,2,0.4,26,5.2,13.0,13,5.2,0,0.0,1,0.2,0,0.0,0,0.0,0.0,0,0.0,2,0.4,2,0.4,0,0.0,0.0,0.78,8.6,1.72,0.0,3.17,1.84,4,1,0,0,0,0.0,0.0,0.68,9.6,1.92,0.0,3.38,2.09,4,1,0,0,0,0.0,0.0,0.76,10.6,2.12,0.0,3.6,2.35,4,1,0,0,0,0.0,0.0,0.85
