Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE
Daniel Bellinger ,NYG,TE,2.0,11.0,30.0,2.73,35.0,3.18,268.0,24.36,8.93,24.0,13.09,2.0,0.18,2.0,0.18,1.0,0.09,2.0,0.18,2.0,1.0,0.09,31.0,2.82,36.0,3.27,1.0,0.09,0.03,1.0,45.0,4.09,2.7,3.13,4.4,6.0,2.0,3.0,0.0,0.0,0.38,0.0,3.71,60.0,5.45,4.9,3.38,5.95,5.0,3.0,2.0,1.0,0.0,0.38,0.2,5.45,75.0,6.82,7.2,3.77,7.48,4.0,5.0,1.0,1.0,0.0,0.22,0.25,7.11,1
Mike Gesicki ,NE,TE,2.0,16.76,44.92,2.69,71.49,4.29,506.75,30.43,11.34,37.79,15.53,9.78,0.59,4.36,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.92,2.69,71.49,4.29,0.04,0.0,0.0,1.0,77.25,4.64,3.22,4.98,4.45,7.96,4.32,2.75,0.88,0.85,0.38,0.32,4.14,99.7,5.99,4.69,5.82,5.7,7.96,4.07,2.1,1.43,1.2,0.41,0.44,5.41,122.16,7.33,5.87,6.71,6.95,7.67,3.28,3.08,1.29,1.44,0.65,0.52,6.65,4
Tyler Conklin ,NYJ,TE,1.0,16.86,52.93,3.12,77.96,4.6,507.36,29.92,9.55,32.07,13.88,6.37,0.37,2.68,0.16,1.23,0.07,1.85,0.11,0.92,0.0,0.0,54.16,3.19,79.19,4.67,0.0,0.0,0.0,1.0,67.03,3.95,2.73,4.21,3.91,9.08,4.48,2.09,0.59,0.62,0.25,0.15,3.62,93.49,5.51,4.77,4.92,5.44,7.85,5.22,1.97,1.21,0.62,0.3,0.26,5.27,119.96,7.08,6.55,5.73,6.94,7.6,4.26,2.56,1.58,0.86,0.44,0.35,6.85,4
Austin Hooper ,LV,TE,1.0,15.96,42.09,2.68,62.69,4.0,432.25,27.43,10.25,28.08,13.42,3.29,0.22,2.6,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.09,2.68,62.69,4.0,0.0,0.0,0.0,1.0,59.4,3.8,2.84,3.49,3.97,8.29,4.85,2.0,0.12,0.69,0.29,0.26,3.68,80.45,5.14,4.53,4.04,5.36,7.45,5.55,2.0,0.22,0.73,0.36,0.33,5.11,101.5,6.49,6.1,4.64,6.73,6.8,5.0,2.63,0.8,0.73,0.5,0.49,6.55,4
Irv Smith Jr. ,FA,TE,1.0,9.07,26.23,2.97,37.49,4.26,212.67,23.27,7.99,20.11,10.74,1.18,0.09,2.39,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.23,2.97,37.49,4.26,0.0,0.0,0.0,0.96,35.88,3.92,2.95,3.39,4.13,4.58,2.24,1.87,0.26,0.13,0.33,0.07,3.66,49.0,5.4,4.39,4.04,5.65,3.76,2.87,1.24,1.08,0.13,0.36,0.33,5.01,62.11,6.89,5.86,4.74,7.15,2.84,3.79,1.24,1.08,0.13,0.36,0.47,6.33,4
Robert Tonyan ,CHI,TE,2.0,14.45,42.59,2.83,54.8,3.73,401.33,27.27,9.76,28.44,14.68,5.67,0.42,2.85,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.59,2.83,54.8,3.73,0.0,0.0,0.0,0.99,57.22,3.96,2.81,3.87,4.01,8.18,2.91,1.96,1.31,0.1,0.38,0.23,3.66,78.51,5.38,4.17,4.49,5.44,6.23,4.89,1.11,2.12,0.1,0.38,0.44,4.95,99.8,6.79,5.48,5.23,6.83,5.62,4.89,1.63,1.6,0.71,0.44,0.5,6.21,4
Juwan Johnson ,NO,TE,2.0,14.31,30.67,1.99,48.33,3.18,370.41,24.06,11.89,35.15,14.33,7.18,0.46,5.51,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.67,1.99,48.33,3.18,0.0,0.0,0.0,0.99,70.12,4.56,3.02,4.77,4.33,6.87,3.46,1.79,0.9,1.28,0.37,0.35,3.89,85.45,5.56,4.23,5.3,5.32,6.87,3.08,1.54,1.54,1.28,0.43,0.46,4.93,100.78,6.56,5.37,5.87,6.32,6.87,3.08,1.54,1.54,1.28,0.43,0.46,5.89,3
Jordan Akins ,CLE,TE,2.0,14.1,33.76,2.38,48.37,3.4,413.69,28.8,11.97,40.61,16.98,9.46,0.65,3.26,0.22,0.34,0.03,1.13,0.09,1.13,0.0,0.0,34.1,2.41,48.72,3.43,1.11,0.08,0.04,1.0,60.03,4.11,3.07,4.35,4.0,7.07,3.1,3.28,0.0,0.66,0.43,0.11,3.76,76.91,5.3,4.01,4.89,5.21,7.03,2.75,3.04,0.62,0.66,0.47,0.21,4.78,93.79,6.5,4.96,5.48,6.43,6.24,3.45,3.14,0.62,0.66,0.48,0.25,5.77,4
Chigoziem Okonkwo ,TEN,TE,1.0,16.0,32.0,2.0,46.0,2.88,450.0,28.12,14.06,48.0,18.81,14.0,0.88,3.0,0.19,3.0,0.19,2.0,0.12,0.67,0.0,0.0,35.0,2.19,49.0,3.06,0.0,0.0,0.0,1.0,65.2,4.08,3.3,4.02,4.12,7.0,5.0,3.0,1.0,0.0,0.33,0.14,3.85,81.2,5.08,4.25,4.77,5.08,8.0,3.0,4.0,1.0,0.0,0.45,0.12,4.76,97.2,6.08,5.25,5.56,6.05,7.0,4.0,4.0,1.0,0.0,0.45,0.14,5.65,1
Jelani Woods ,IND,TE,1.0,12.0,25.0,2.08,40.0,3.33,312.0,26.0,12.48,36.0,16.33,6.0,0.5,3.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2.08,40.0,3.33,0.0,0.0,0.0,1.0,49.2,4.1,3.05,4.28,4.08,6.0,3.0,2.0,1.0,0.0,0.33,0.17,3.75,61.7,5.14,3.8,4.92,5.11,7.0,2.0,1.0,2.0,0.0,0.33,0.29,4.58,74.2,6.18,4.7,5.67,6.12,8.0,1.0,1.0,2.0,0.0,0.33,0.25,5.43,1
