Player,POS,G,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_LG,rush_LG_mean,rush_20,rush_20_mean,rush_TD,rush_TD_mean,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_TD,rec_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Jerick McKinnon (FA),RB,16,81,5.06,319,19.94,3.94,55,9.19,4,0.25,5,0.31,33,2.06,46,2.88,253,15.81,7.67,1,0.06,114,7.12,127,7.94,0,0.0,0.0,1.0,93.2,5.82,3.2,5.8,6.06,10,0,3,3,0,0.6,0.3,4.87,109.7,6.86,4.45,6.41,7.04,10,0,4,2,0,0.6,0.2,5.74,126.2,7.89,5.4,7.1,7.99,10,0,4,1,1,0.6,0.2,6.5
Tony Pollard (DAL),RB,16,101,6.31,435,27.19,4.31,42,13.19,8,0.5,4,0.25,28,1.75,40,2.5,193,12.06,6.89,1,0.06,129,8.06,141,8.81,0,0.0,0.0,1.0,92.8,5.8,3.3,6.26,5.92,11,2,2,0,1,0.23,0.09,4.71,106.8,6.68,4.55,6.71,6.77,11,2,2,0,1,0.23,0.09,5.55,120.8,7.55,5.6,7.19,7.62,11,2,2,0,1,0.23,0.09,6.31
Phillip Lindsay (FA),RB,11,118,10.73,502,45.64,4.25,55,15.55,9,0.82,1,0.09,7,0.64,14,1.27,28,2.55,4.0,0,0.0,125,11.36,132,12.0,0,0.0,0.0,1.0,59.0,5.36,3.5,4.32,6.01,7,2,1,1,0,0.22,0.14,5.15,62.5,5.68,4.1,4.35,6.42,7,3,0,1,0,0.1,0.14,5.5,66.0,6.0,5.1,4.45,6.83,8,2,1,0,0,0.1,0.0,6.02
Justin Jackson (FA),RB,9,59,6.56,270,30.0,4.58,36,13.0,5,0.56,0,0.0,19,2.11,24,2.67,173,19.22,9.11,0,0.0,78,8.67,83,9.22,0,0.0,0.0,0.98,46.3,5.14,2.1,5.52,5.42,6,1,1,1,0,0.29,0.17,4.01,55.8,6.2,3.4,6.06,6.45,5,1,2,1,0,0.5,0.2,5.03,65.3,7.26,4.9,6.71,7.45,5,1,2,1,0,0.5,0.2,6.01
Malcolm Brown (FA),RB,16,101,6.31,419,26.19,4.15,19,9.19,0,0.0,5,0.31,23,1.44,33,2.06,162,10.12,7.04,0,0.0,124,7.75,134,8.38,1,0.06,0.01,1.0,86.1,5.38,2.75,6.47,5.45,13,0,1,1,1,0.23,0.15,4.27,97.6,6.1,3.5,6.71,6.19,12,1,1,1,1,0.23,0.17,4.87,109.1,6.82,4.15,7.0,6.93,12,2,0,1,1,0.14,0.17,5.38
Tarik Cohen (FA),RB,3,14,4.67,74,24.67,5.29,17,12.67,0,0.0,0,0.0,6,2.0,9,3.0,41,13.67,6.83,0,0.0,20,6.67,23,7.67,0,0.0,0.0,0.82,11.5,3.83,4.1,1.03,6.15,3,0,0,0,0,0.0,0.0,4.02,14.5,4.83,5.6,1.42,7.24,3,0,0,0,0,0.0,0.0,4.87,17.5,5.83,6.7,1.86,8.26,3,0,0,0,0,0.0,0.0,5.57
La'Mical Perine (KC),RB,10,64,6.4,232,23.2,3.62,20,9.5,1,0.1,2,0.2,11,1.1,15,1.5,63,6.3,5.73,0,0.0,75,7.5,79,7.9,0,0.0,0.0,1.0,41.5,4.15,3.45,3.6,4.86,8,1,1,0,0,0.11,0.0,4.17,47.0,4.7,4.45,3.76,5.51,8,1,1,0,0,0.11,0.0,4.83,52.5,5.25,5.35,3.97,6.15,8,1,1,0,0,0.11,0.0,5.45
Joshua Kelley (LAC),RB,14,111,7.93,354,25.29,3.19,33,10.79,4,0.29,2,0.14,23,1.64,23,1.64,148,10.57,6.43,0,0.0,134,9.57,134,9.57,2,0.14,0.01,1.0,58.2,4.16,2.85,4.12,4.71,11,0,3,0,0,0.27,0.0,4.12,69.7,4.98,3.6,4.22,5.67,9,3,2,0,0,0.17,0.0,4.75,81.2,5.8,4.55,4.48,6.59,9,3,2,0,0,0.17,0.0,5.5
Jordan Howard (FA),RB,7,35,5.0,60,8.57,1.71,11,4.86,0,0.0,4,0.57,1,0.14,1,0.14,-3,-0.43,-3.0,0,0.0,36,5.14,36,5.14,0,0.0,0.0,0.92,29.7,4.24,6.1,3.26,5.1,3,4,0,0,0,0.0,0.0,4.62,30.2,4.31,6.1,3.15,5.29,6,1,0,0,0,0.0,0.0,4.69,30.7,4.39,6.1,3.05,5.48,7,0,0,0,0,0.0,0.0,4.76
Boston Scott (PHI),RB,16,80,5.0,374,23.38,4.68,56,11.06,5,0.31,1,0.06,25,1.56,36,2.25,212,13.25,8.48,1,0.06,105,6.56,116,7.25,0,0.0,0.0,1.0,70.6,4.41,3.0,4.67,4.85,12,2,1,1,0,0.14,0.08,3.96,83.1,5.19,4.0,5.04,5.66,11,3,1,1,0,0.14,0.09,4.68,95.6,5.98,5.1,5.49,6.45,10,4,1,1,0,0.14,0.1,5.44
Brian Hill (FA),RB,16,100,6.25,465,29.06,4.65,62,14.12,7,0.44,1,0.06,25,1.56,30,1.88,199,12.44,7.96,0,0.0,125,7.81,130,8.12,1,0.06,0.01,1.0,70.4,4.4,2.45,4.08,5.0,12,2,0,2,0,0.14,0.17,3.9,82.9,5.18,3.4,4.24,5.9,12,2,1,1,0,0.14,0.08,4.62,95.4,5.96,4.4,4.46,6.78,12,2,2,0,0,0.14,0.0,5.36
Alexander Mattison (MIN),RB,13,96,7.38,434,33.38,4.52,25,11.38,4,0.31,2,0.15,13,1.0,15,1.15,125,9.62,9.62,1,0.08,109,8.38,111,8.54,0,0.0,0.0,1.0,73.9,5.68,2.7,7.42,5.56,8,3,0,1,1,0.18,0.25,4.31,80.4,6.18,2.7,7.91,6.02,9,2,0,1,1,0.18,0.22,4.49,86.9,6.68,2.7,8.43,6.48,10,0,2,0,1,0.3,0.1,4.7
Mark Ingram II (FA),RB,11,72,6.55,299,27.18,4.15,30,10.55,3,0.27,2,0.18,6,0.55,8,0.73,50,4.55,8.33,0,0.0,78,7.09,80,7.27,0,0.0,0.0,1.0,46.9,4.26,2.9,4.1,4.84,9,0,1,1,0,0.22,0.11,3.96,49.9,4.54,3.4,4.36,5.13,9,1,1,0,0,0.1,0.0,4.19,52.9,4.81,3.9,4.64,5.42,9,1,1,0,0,0.1,0.0,4.5
Rodney Smith (FA),RB,7,41,5.86,156,22.29,3.8,13,9.29,0,0.0,1,0.14,9,1.29,11,1.57,59,8.43,6.56,0,0.0,50,7.14,52,7.43,0,0.0,0.0,0.92,27.5,3.93,2.9,3.06,4.8,6,0,1,0,0,0.17,0.0,3.61,32.0,4.57,3.4,3.19,5.58,6,0,1,0,0,0.17,0.0,4.09,36.5,5.21,4.4,3.41,6.34,6,1,0,0,0,0.0,0.0,4.66
Devontae Booker (FA),RB,16,93,5.81,423,26.44,4.55,43,11.69,6,0.38,3,0.19,17,1.06,21,1.31,84,5.25,4.94,0,0.0,110,6.88,114,7.12,0,0.0,0.0,1.0,68.7,4.29,1.9,5.34,4.56,13,1,1,0,1,0.14,0.08,3.39,77.2,4.82,3.0,5.32,5.19,13,1,1,0,1,0.14,0.08,4.08,85.7,5.36,3.65,5.36,5.82,13,1,1,1,0,0.14,0.08,4.59
Chris Thompson (FA),RB,8,7,0.88,20,2.5,2.86,5,2.0,0,0.0,0,0.0,20,2.5,23,2.88,146,18.25,7.3,1,0.12,27,3.38,30,3.75,0,0.0,0.0,0.95,22.6,2.82,2.65,2.95,3.48,7,1,0,0,0,0.0,0.0,2.69,32.6,4.08,4.35,3.56,4.85,7,1,0,0,0,0.0,0.0,3.85,42.6,5.32,5.85,4.26,6.13,6,2,0,0,0,0.0,0.0,4.91
Kyle Juszczyk (SF),RB,16,17,1.06,64,4.0,3.76,10,3.06,0,0.0,2,0.12,19,1.19,29,1.81,202,12.62,10.63,4,0.25,36,2.25,46,2.88,0,0.0,0.0,1.0,62.6,3.91,2.5,3.96,4.48,11,3,2,0,0,0.14,0.0,3.15,72.1,4.51,3.25,4.04,5.19,11,4,1,0,0,0.07,0.0,3.7,81.6,5.1,4.0,4.14,5.91,12,3,1,0,0,0.07,0.0,4.28
Alfred Morris (FA),RB,9,55,6.11,238,26.44,4.33,20,9.44,1,0.11,1,0.11,3,0.33,4,0.44,19,2.11,6.33,1,0.11,58,6.44,59,6.56,0,0.0,0.0,0.98,37.7,4.19,2.8,5.04,4.51,7,1,0,1,0,0.12,0.14,3.59,39.2,4.36,2.8,5.2,4.71,7,1,0,1,0,0.12,0.14,3.66,40.7,4.52,2.8,5.37,4.91,7,1,0,1,0,0.12,0.14,3.74
DeAndre Washington (FA),RB,4,31,7.75,91,22.75,2.94,16,7.25,0,0.0,0,0.0,5,1.25,10,2.5,30,7.5,6.0,0,0.0,36,9.0,41,10.25,0,0.0,0.0,0.85,12.1,3.03,2.95,3.0,3.71,3,1,0,0,0,0.0,0.0,3.14,14.6,3.65,3.7,3.45,4.37,3,1,0,0,0,0.0,0.0,3.62,17.1,4.28,4.45,3.9,5.03,3,1,0,0,0,0.0,0.0,4.09
Jordan Wilkins (FA),RB,15,84,5.6,308,20.53,3.67,22,7.33,1,0.07,1,0.07,12,0.8,16,1.07,105,7.0,8.75,0,0.0,96,6.4,100,6.67,0,0.0,0.0,1.0,49.3,3.29,2.8,4.84,3.58,14,0,0,0,1,0.07,0.07,3.27,55.3,3.69,2.8,5.01,4.02,13,1,0,1,0,0.07,0.08,3.45,61.3,4.09,3.8,5.21,4.47,13,1,0,1,0,0.07,0.08,4.03
Benny Snell Jr. (FA),RB,16,111,6.94,368,23.0,3.32,30,8.0,4,0.25,4,0.25,10,0.62,14,0.88,61,3.81,6.1,0,0.0,121,7.56,125,7.81,1,0.06,0.01,1.0,64.9,4.06,1.3,5.19,4.34,10,4,1,1,0,0.14,0.1,3.13,69.9,4.37,1.65,5.5,4.66,11,2,2,1,0,0.23,0.09,3.44,74.9,4.68,1.65,5.85,4.98,12,2,1,1,0,0.14,0.08,3.52
Kerryon Johnson (FA),RB,16,52,3.25,181,11.31,3.48,14,4.56,0,0.0,2,0.12,19,1.19,26,1.62,187,11.69,9.84,1,0.06,71,4.44,78,4.88,1,0.06,0.01,1.0,52.8,3.3,1.85,3.25,3.97,11,5,0,0,0,0.0,0.0,2.82,62.3,3.89,2.6,3.59,4.62,11,5,0,0,0,0.0,0.0,3.38,71.8,4.49,3.4,4.0,5.25,11,5,0,0,0,0.0,0.0,3.95
Ito Smith (FA),RB,14,63,4.5,268,19.14,4.25,24,7.36,1,0.07,1,0.07,17,1.21,26,1.86,75,5.36,4.41,0,0.0,80,5.71,89,6.36,0,0.0,0.0,1.0,40.3,2.88,2.25,3.46,3.41,13,0,0,1,0,0.08,0.08,2.96,48.8,3.49,2.55,3.93,4.04,13,0,0,1,0,0.08,0.08,3.33,57.3,4.09,3.55,4.44,4.66,13,0,0,1,0,0.08,0.08,3.98
DeeJay Dallas (SEA),RB,12,34,2.83,108,9.0,3.18,13,3.92,0,0.0,2,0.17,17,1.42,20,1.67,111,9.25,6.53,1,0.08,51,4.25,54,4.5,0,0.0,0.0,1.0,39.9,3.33,1.45,5.33,3.53,10,0,1,1,0,0.2,0.1,2.57,48.4,4.03,2.45,5.98,4.21,10,0,1,0,1,0.2,0.1,3.24,56.9,4.74,3.45,6.66,4.88,10,1,0,0,1,0.09,0.1,3.85
Matt Breida (NYG),RB,12,59,4.92,254,21.17,4.31,24,7.33,1,0.08,0,0.0,9,0.75,10,0.83,96,8.0,10.67,0,0.0,68,5.67,69,5.75,1,0.08,0.01,1.0,33.0,2.75,2.2,2.68,3.47,11,1,0,0,0,0.0,0.0,2.84,37.5,3.12,2.7,2.9,3.91,11,1,0,0,0,0.0,0.0,3.22,42.0,3.5,3.2,3.19,4.33,11,1,0,0,0,0.0,0.0,3.59
Ty Johnson (FA),RB,13,54,4.15,254,19.54,4.7,34,6.77,2,0.15,1,0.08,16,1.23,21,1.62,99,7.62,6.19,1,0.08,70,5.38,75,5.77,0,0.0,0.0,1.0,47.3,3.64,1.6,5.39,3.86,10,1,1,1,0,0.18,0.1,2.88,55.3,4.25,1.6,5.98,4.44,10,1,1,1,0,0.18,0.1,3.11,63.3,4.87,1.6,6.64,5.01,10,1,0,2,0,0.18,0.2,3.36
Jalen Richard (FA),RB,13,22,1.69,123,9.46,5.59,20,7.0,1,0.08,1,0.08,19,1.46,23,1.77,138,10.62,7.26,0,0.0,41,3.15,45,3.46,0,0.0,0.0,1.0,32.1,2.47,2.2,2.09,3.31,12,1,0,0,0,0.0,0.0,2.55,41.6,3.2,2.6,2.24,4.27,12,1,0,0,0,0.0,0.0,3.1,51.1,3.93,3.2,2.56,5.13,11,2,0,0,0,0.0,0.0,3.68
Josh Adams (FA),RB,8,29,3.62,157,19.62,5.41,25,6.75,1,0.12,2,0.25,6,0.75,8,1.0,29,3.62,4.83,0,0.0,35,4.38,37,4.62,0,0.0,0.0,0.95,30.6,3.82,1.55,4.71,4.19,5,2,1,0,0,0.14,0.0,2.69,33.6,4.2,2.05,5.08,4.57,5,2,1,0,0,0.14,0.0,3.02,36.6,4.58,2.55,5.47,4.94,6,1,1,0,0,0.14,0.0,3.36
JaMycal Hasty (JAC),RB,8,39,4.88,148,18.5,3.79,20,6.62,1,0.12,1,0.12,7,0.88,8,1.0,33,4.12,4.71,0,0.0,46,5.75,47,5.88,0,0.0,0.0,0.95,24.1,3.01,1.55,3.44,3.57,6,2,0,0,0,0.0,0.0,2.5,27.6,3.45,2.3,3.5,4.12,6,2,0,0,0,0.0,0.0,3.0,31.1,3.89,3.1,3.6,4.66,6,2,0,0,0,0.0,0.0,3.51
T.J. Yeldon (FA),RB,3,10,3.33,70,23.33,7.0,34,14.33,2,0.67,0,0.0,1,0.33,4,1.33,22,7.33,22.0,1,0.33,11,3.67,14,4.67,0,0.0,0.0,0.82,15.2,5.07,1.8,7.27,4.98,2,0,1,0,0,0.5,0.0,2.83,15.7,5.23,1.8,7.56,5.15,2,0,1,0,0,0.5,0.0,2.89,16.2,5.4,1.8,7.85,5.33,2,0,1,0,0,0.5,0.0,2.95
Peyton Barber (FA),RB,16,94,5.88,258,16.12,2.74,15,5.81,0,0.0,4,0.25,4,0.25,7,0.44,12,0.75,3.0,0,0.0,98,6.12,101,6.31,0,0.0,0.0,1.0,51.0,3.19,1.2,4.02,3.64,13,2,0,1,0,0.07,0.08,2.62,53.0,3.31,1.7,4.01,3.82,14,1,1,0,0,0.07,0.0,2.87,55.0,3.44,2.2,4.02,4.01,14,1,1,0,0,0.07,0.0,3.15
Travis Homer (CHI),RB,9,25,2.78,88,9.78,3.52,12,6.44,0,0.0,0,0.0,9,1.0,10,1.11,90,10.0,10.0,1,0.11,34,3.78,35,3.89,0,0.0,0.0,0.98,23.8,2.64,1.9,2.79,3.31,7,2,0,0,0,0.0,0.0,2.41,28.3,3.14,1.9,3.14,3.86,7,2,0,0,0,0.0,0.0,2.62,32.8,3.64,2.1,3.58,4.38,8,1,0,0,0,0.0,0.0,2.91
Dion Lewis (FA),RB,16,29,1.81,115,7.19,3.97,19,5.62,0,0.0,2,0.12,19,1.19,30,1.88,127,7.94,6.68,1,0.06,48,3.0,59,3.69,2,0.12,0.04,1.0,38.2,2.39,1.6,3.06,2.91,14,1,1,0,0,0.07,0.0,2.21,47.7,2.98,1.85,3.46,3.57,14,1,1,0,0,0.07,0.0,2.57,57.2,3.58,2.4,3.9,4.21,14,1,1,0,0,0.07,0.0,3.04
AJ Dillon (GB),RB,11,46,4.18,242,22.0,5.26,30,9.73,3,0.27,2,0.18,2,0.18,2,0.18,21,1.91,10.5,0,0.0,48,4.36,48,4.36,0,0.0,0.0,1.0,38.3,3.48,1.4,7.21,3.43,10,0,0,0,1,0.1,0.1,2.44,39.3,3.57,1.4,7.36,3.54,10,0,0,0,1,0.1,0.1,2.49,40.3,3.66,1.4,7.51,3.66,10,0,0,0,1,0.1,0.1,2.53
Darrel Williams (FA),RB,16,39,2.44,169,10.56,4.33,13,4.31,0,0.0,1,0.06,18,1.12,26,1.62,116,7.25,6.44,0,0.0,57,3.56,65,4.06,0,0.0,0.0,1.0,36.5,2.28,0.95,2.93,2.82,14,1,1,0,0,0.07,0.0,1.95,45.5,2.84,1.7,3.25,3.46,14,2,0,0,0,0.0,0.0,2.47,54.5,3.41,2.45,3.63,4.08,14,2,0,0,0,0.0,0.0,3.02
Samaje Perine (DEN),RB,16,63,3.94,301,18.81,4.78,46,7.94,3,0.19,3,0.19,11,0.69,12,0.75,66,4.12,6.0,0,0.0,74,4.62,75,4.69,0,0.0,0.0,1.0,54.7,3.42,0.65,6.52,3.46,14,1,0,0,1,0.07,0.07,2.16,60.2,3.76,0.9,6.99,3.78,14,1,0,0,1,0.07,0.07,2.39,65.7,4.11,1.3,7.47,4.11,14,1,0,0,1,0.07,0.07,2.68
Royce Freeman (FA),RB,16,35,2.19,170,10.62,4.86,23,6.31,2,0.12,0,0.0,12,0.75,13,0.81,81,5.06,6.75,0,0.0,47,2.94,48,3.0,0,0.0,0.0,1.0,25.1,1.57,1.45,1.5,2.29,16,0,0,0,0,0.0,0.0,1.8,31.1,1.94,2.1,1.73,2.77,16,0,0,0,0,0.0,0.0,2.25,37.1,2.32,2.45,2.03,3.21,16,0,0,0,0,0.0,0.0,2.56
D'Onta Foreman (CHI),RB,6,22,3.67,95,15.83,4.32,15,6.5,0,0.0,0,0.0,1,0.17,1,0.17,5,0.83,5.0,1,0.17,23,3.83,23,3.83,0,0.0,0.0,0.9,16.0,2.67,1.95,3.13,3.24,5,1,0,0,0,0.0,0.0,2.21,16.5,2.75,1.95,3.31,3.33,5,1,0,0,0,0.0,0.0,2.25,17.0,2.83,1.95,3.49,3.43,5,1,0,0,0,0.0,0.0,2.28
J.J. Taylor (NE),RB,6,23,3.83,110,18.33,4.78,28,8.33,1,0.17,0,0.0,1,0.17,2,0.33,4,0.67,4.0,0,0.0,24,4.0,25,4.17,0,0.0,0.0,0.9,11.4,1.9,1.7,2.08,2.56,6,0,0,0,0,0.0,0.0,1.91,11.9,1.98,1.95,2.15,2.68,6,0,0,0,0,0.0,0.0,2.04,12.4,2.07,2.0,2.24,2.79,6,0,0,0,0,0.0,0.0,2.1
Anthony McFarland Jr. (PIT),RB,11,33,3.0,113,10.27,3.42,20,5.82,1,0.09,0,0.0,6,0.55,10,0.91,54,4.91,9.0,0,0.0,39,3.55,43,3.91,0,0.0,0.0,1.0,16.7,1.52,1.4,1.37,2.27,11,0,0,0,0,0.0,0.0,1.86,19.7,1.79,1.5,1.58,2.61,11,0,0,0,0,0.0,0.0,2.03,22.7,2.06,1.7,1.83,2.93,11,0,0,0,0,0.0,0.0,2.24
Jeremy McNichols (PIT),RB,16,47,2.94,204,12.75,4.34,20,5.25,1,0.06,1,0.06,12,0.75,17,1.06,55,3.44,4.58,0,0.0,59,3.69,64,4.0,0,0.0,0.0,1.0,31.9,1.99,0.8,2.4,2.59,14,2,0,0,0,0.0,0.0,1.75,37.9,2.37,1.05,2.71,3.02,14,2,0,0,0,0.0,0.0,2.03,43.9,2.74,1.55,3.05,3.43,14,2,0,0,0,0.0,0.0,2.39
Tyler Ervin (FA),RB,8,13,1.62,67,8.38,5.15,21,4.25,1,0.12,0,0.0,11,1.38,15,1.88,84,10.5,7.64,0,0.0,24,3.0,28,3.5,0,0.0,0.0,0.95,15.1,1.89,0.75,2.56,2.41,7,1,0,0,0,0.0,0.0,1.53,20.6,2.58,1.25,3.06,3.18,7,1,0,0,0,0.0,0.0,2.02,26.1,3.26,1.75,3.59,3.92,7,1,0,0,0,0.0,0.0,2.49
LeSean McCoy (FA),RB,10,10,1.0,31,3.1,3.1,14,1.9,0,0.0,0,0.0,15,1.5,19,1.9,101,10.1,6.73,0,0.0,25,2.5,29,2.9,0,0.0,0.0,1.0,13.2,1.32,0.65,1.35,1.98,10,0,0,0,0,0.0,0.0,1.34,20.7,2.07,1.15,1.89,2.88,10,0,0,0,0,0.0,0.0,1.9,28.2,2.82,1.65,2.54,3.69,10,0,0,0,0,0.0,0.0,2.43
Darrynton Evans (CHI),RB,5,14,2.8,54,10.8,3.86,9,5.0,0,0.0,0,0.0,2,0.4,4,0.8,27,5.4,13.5,1,0.2,16,3.2,18,3.6,0,0.0,0.0,0.88,14.1,2.82,0.9,4.99,3.05,4,0,1,0,0,0.25,0.0,1.81,15.1,3.02,0.9,5.43,3.23,4,0,1,0,0,0.25,0.0,1.87,16.1,3.22,0.9,5.88,3.42,4,0,1,0,0,0.25,0.0,1.94
Troymaine Pope (FA),RB,6,15,2.5,76,12.67,5.07,26,6.17,1,0.17,0,0.0,8,1.33,10,1.67,42,7.0,5.25,0,0.0,23,3.83,25,4.17,0,0.0,0.0,0.9,11.8,1.97,0.35,3.74,2.28,5,0,1,0,0,0.2,0.0,1.41,15.8,2.63,0.6,4.69,2.92,5,0,1,0,0,0.2,0.0,1.73,19.8,3.3,0.85,5.65,3.54,5,0,1,0,0,0.2,0.0,2.04
Trayveon Williams (CIN),RB,10,26,2.6,157,15.7,6.04,55,8.3,4,0.4,0,0.0,5,0.5,5,0.5,30,3.0,6.0,0,0.0,31,3.1,31,3.1,1,0.1,0.03,1.0,16.7,1.67,0.7,2.52,2.14,9,1,0,0,0,0.0,0.0,1.45,19.2,1.92,0.7,2.84,2.42,9,1,0,0,0,0.0,0.0,1.56,21.7,2.17,0.7,3.2,2.68,9,1,0,0,0,0.0,0.0,1.66
Tevin Coleman (FA),RB,8,28,3.5,53,6.62,1.89,12,4.62,0,0.0,0,0.0,4,0.5,5,0.62,34,4.25,8.5,0,0.0,32,4.0,33,4.12,0,0.0,0.0,0.95,8.7,1.09,0.7,1.64,1.55,8,0,0,0,0,0.0,0.0,1.25,10.7,1.34,0.95,1.93,1.85,8,0,0,0,0,0.0,0.0,1.46,12.7,1.59,1.2,2.25,2.14,8,0,0,0,0,0.0,0.0,1.66
Ty Montgomery (NE),RB,6,19,3.17,101,16.83,5.32,36,6.0,2,0.33,0,0.0,3,0.5,6,1.0,27,4.5,9.0,0,0.0,22,3.67,25,4.17,0,0.0,0.0,0.9,12.8,2.13,0.0,4.33,2.39,5,0,1,0,0,0.2,0.0,1.33,14.3,2.38,0.0,4.56,2.66,5,0,1,0,0,0.2,0.0,1.42,15.8,2.63,0.0,4.81,2.94,5,1,0,0,0,0.0,0.0,1.43
Theo Riddick (FA),RB,5,6,1.2,14,2.8,2.33,11,2.8,0,0.0,0,0.0,5,1.0,6,1.2,43,8.6,8.6,0,0.0,11,2.2,12,2.4,0,0.0,0.0,0.88,5.7,1.14,0.9,1.75,1.6,5,0,0,0,0,0.0,0.0,1.09,8.2,1.64,1.3,2.57,2.11,5,0,0,0,0,0.0,0.0,1.41,10.7,2.14,1.3,3.42,2.6,4,1,0,0,0,0.0,0.0,1.58
Ke'Shawn Vaughn (TB),RB,10,26,2.6,109,10.9,4.19,19,3.9,0,0.0,0,0.0,5,0.5,10,1.0,34,3.4,6.8,1,0.1,31,3.1,36,3.6,1,0.1,0.03,1.0,18.3,1.83,0.0,3.47,2.17,8,2,0,0,0,0.0,0.0,1.23,20.8,2.08,0.0,3.68,2.45,8,2,0,0,0,0.0,0.0,1.34,23.3,2.33,0.2,3.92,2.74,9,1,0,0,0,0.0,0.0,1.53
Rashaad Penny (PHI),RB,3,11,3.67,34,11.33,3.09,7,6.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,11,3.67,11,3.67,0,0.0,0.0,0.82,3.4,1.13,0.9,0.68,2.02,3,0,0,0,0,0.0,0.0,1.26,3.4,1.13,0.9,0.68,2.04,3,0,0,0,0,0.0,0.0,1.27,3.4,1.13,0.9,0.68,2.06,3,0,0,0,0,0.0,0.0,1.28
Darwin Thompson (SEA),RB,13,27,2.08,97,7.46,3.59,14,3.62,0,0.0,1,0.08,7,0.54,11,0.85,65,5.0,9.29,1,0.08,34,2.62,38,2.92,1,0.08,0.03,1.0,26.2,2.02,0.0,6.35,2.05,12,0,0,0,1,0.08,0.08,1.17,29.7,2.28,0.0,7.32,2.27,12,0,0,0,1,0.08,0.08,1.26,33.2,2.55,0.0,8.28,2.49,12,0,0,0,1,0.08,0.08,1.35
Cordarrelle Patterson (ATL),RB,16,64,4.0,232,14.5,3.62,13,6.0,0,0.0,1,0.06,21,1.31,25,1.56,132,8.25,6.29,0,0.0,85,5.31,89,5.56,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16,0,0,0,0,0.0,0.0,0.56,10.5,0.66,0.5,0.62,1.21,16,0,0,0,0,0.0,0.0,1.24,21.0,1.31,1.0,1.25,2.05,16,0,0,0,0,0.0,0.0,1.78
Dare Ogunbowale (HOU),RB,14,32,2.29,145,10.36,4.53,25,4.07,1,0.07,0,0.0,10,0.71,20,1.43,54,3.86,5.4,0,0.0,42,3.0,52,3.71,0,0.0,0.0,1.0,19.9,1.42,0.0,2.67,1.8,12,2,0,0,0,0.0,0.0,1.09,24.9,1.78,0.0,3.28,2.16,12,2,0,0,0,0.0,0.0,1.23,29.9,2.14,0.0,3.9,2.51,12,2,0,0,0,0.0,0.0,1.38
Alec Ingold (MIA),RB,16,3,0.19,4,0.25,1.33,3,0.31,0,0.0,0,0.0,12,0.75,17,1.06,110,6.88,9.17,1,0.06,15,0.94,20,1.25,0,0.0,0.0,1.0,17.4,1.09,0.25,1.73,1.53,15,1,0,0,0,0.0,0.0,0.84,23.4,1.46,0.6,2.04,2.0,15,1,0,0,0,0.0,0.0,1.16,29.4,1.84,1.1,2.38,2.45,15,1,0,0,0,0.0,0.0,1.54
Corey Clement (ARI),RB,15,21,1.4,75,5.0,3.57,7,2.67,0,0.0,1,0.07,5,0.33,6,0.4,25,1.67,5.0,0,0.0,26,1.73,27,1.8,0,0.0,0.0,1.0,16.0,1.07,0.3,1.76,1.49,14,1,0,0,0,0.0,0.0,0.9,18.5,1.23,0.3,1.88,1.72,15,0,0,0,0,0.0,0.0,0.99,21.0,1.4,0.3,2.04,1.94,15,0,0,0,0,0.0,0.0,1.07
C.J. Ham (MIN),RB,15,5,0.33,18,1.2,3.6,10,1.2,0,0.0,0,0.0,8,0.53,14,0.93,97,6.47,12.12,1,0.07,13,0.87,19,1.27,0,0.0,0.0,1.0,17.5,1.17,0.2,2.05,1.58,14,1,0,0,0,0.0,0.0,0.84,21.5,1.43,0.2,2.34,1.89,14,1,0,0,0,0.0,0.0,0.96,25.5,1.7,0.2,2.68,2.2,14,1,0,0,0,0.0,0.0,1.08
Patrick Laird (TB),RB,16,13,0.81,72,4.5,5.54,17,3.19,0,0.0,0,0.0,10,0.62,12,0.75,68,4.25,6.8,0,0.0,23,1.44,25,1.56,1,0.06,0.04,1.0,12.0,0.75,0.1,1.16,1.17,16,0,0,0,0,0.0,0.0,0.66,17.0,1.06,0.35,1.48,1.57,16,0,0,0,0,0.0,0.0,0.93,22.0,1.38,0.6,1.83,1.96,16,0,0,0,0,0.0,0.0,1.18
