Player,TEAM,POS,DPCHT,G,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_LG,rush_LG_mean,rush_20,rush_20_mean,rush_TD,rush_TD_mean,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_TD,rec_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Mekhi Sargent ,JAC,RB,3.0,5,5,1.0,11,2.2,2.2,3,1.8,0,0.0,0,0.0,0,0.0,1,0.2,0,0.0,0.0,0,0.0,5,1.0,6,1.2,0,0.0,0.0,0.78,1.1,0.22,0.2,0.18,0.55,5,0,0,0,0,0.0,0.0,0.33,1.1,0.22,0.2,0.18,0.55,5,0,0,0,0,0.0,0.0,0.33,1.1,0.22,0.2,0.18,0.56,5,0,0,0,0,0.0,0.0,0.33
Devine Ozigbo ,FA,RB,57.5,2,1,0.5,-3,-1.5,-3.0,0,0.0,0,0.0,0,0.0,1,0.5,1,0.5,7,3.5,7.0,0,0.0,2,1.0,2,1.0,0,0.0,0.0,0.48,0.4,0.2,0.2,0.28,0.44,2,0,0,0,0,0.0,0.0,0.17,0.9,0.45,0.45,0.64,0.82,2,0,0,0,0,0.0,0.0,0.29,1.4,0.7,0.7,0.99,1.16,2,0,0,0,0,0.0,0.0,0.4
Jason Cabinda ,DET,RB,5.0,10,3,0.3,23,2.3,7.67,21,2.3,1,0.1,0,0.0,4,0.4,7,0.7,16,1.6,4.0,1,0.1,7,0.7,10,1.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10,0,0,0,0,0.0,0.0,0.1,2.0,0.2,0.0,0.35,0.42,10,0,0,0,0,0.0,0.0,0.27,4.0,0.4,0.0,0.7,0.72,10,0,0,0,0,0.0,0.0,0.39
Derek Watt ,FA,RB,63.0,11,1,0.09,1,0.09,1.0,1,0.09,0,0.0,0,0.0,3,0.27,3,0.27,15,1.36,5.0,0,0.0,4,0.36,4,0.36,0,0.0,0.0,1.0,1.6,0.15,0.0,0.28,0.32,11,0,0,0,0,0.0,0.0,0.17,3.1,0.28,0.0,0.49,0.55,11,0,0,0,0,0.0,0.0,0.26,4.6,0.42,0.0,0.71,0.75,11,0,0,0,0,0.0,0.0,0.34
Buddy Howell ,FA,RB,57.5,5,5,1.0,11,2.2,2.2,4,0.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,5,1.0,5,1.0,0,0.0,0.0,0.78,1.1,0.22,0.0,0.49,0.42,5,0,0,0,0,0.0,0.0,0.21,1.1,0.22,0.0,0.49,0.43,5,0,0,0,0,0.0,0.0,0.21,1.1,0.22,0.0,0.49,0.43,5,0,0,0,0,0.0,0.0,0.21
Ryan Nall ,FA,RB,62.0,5,1,0.2,4,0.8,4.0,4,0.8,0,0.0,0,0.0,1,0.2,1,0.2,4,0.8,4.0,0,0.0,2,0.4,2,0.4,0,0.0,0.0,0.78,0.8,0.16,0.0,0.22,0.38,5,0,0,0,0,0.0,0.0,0.15,1.3,0.26,0.0,0.4,0.53,5,0,0,0,0,0.0,0.0,0.2,1.8,0.36,0.0,0.61,0.67,5,0,0,0,0,0.0,0.0,0.24
Gary Brightwell ,NYG,RB,3.0,7,1,0.14,4,0.57,4.0,4,0.57,0,0.0,0,0.0,1,0.14,1,0.14,6,0.86,6.0,0,0.0,2,0.29,2,0.29,0,0.0,0.0,0.9,1.0,0.14,0.0,0.25,0.33,7,0,0,0,0,0.0,0.0,0.14,1.5,0.21,0.0,0.42,0.44,7,0,0,0,0,0.0,0.0,0.18,2.0,0.29,0.0,0.6,0.54,7,0,0,0,0,0.0,0.0,0.22
Jake Funk ,IND,RB,4.0,5,2,0.4,5,1.0,2.5,6,1.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,2,0.4,2,0.4,0,0.0,0.0,0.78,0.5,0.1,0.0,0.28,0.22,5,0,0,0,0,0.0,0.0,0.1,0.5,0.1,0.0,0.28,0.22,5,0,0,0,0,0.0,0.0,0.1,0.5,0.1,0.0,0.28,0.23,5,0,0,0,0,0.0,0.0,0.1
Nathan Cottrell ,FA,RB,64.0,3,1,0.33,3,1.0,3.0,3,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,1,0.33,1,0.33,0,0.0,0.0,0.6,0.3,0.1,0.0,0.17,0.25,3,0,0,0,0,0.0,0.0,0.08,0.3,0.1,0.0,0.17,0.25,3,0,0,0,0,0.0,0.0,0.08,0.3,0.1,0.0,0.17,0.26,3,0,0,0,0,0.0,0.0,0.08
Kenjon Barner ,FA,RB,55.0,3,4,1.33,0,0.0,0.0,1,0.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,4,1.33,4,1.33,0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0.0,0.0,0.08
Khari Blasingame ,CHI,RB,5.0,5,3,0.6,6,1.2,2.0,3,0.6,0,0.0,0,0.0,2,0.4,2,0.4,4,0.8,2.0,0,0.0,5,1.0,5,1.0,1,0.2,0.2,0.78,-1.0,-0.2,0.0,0.71,-0.35,5,0,0,0,0,0.0,0.0,-0.03,0.0,0.0,0.0,0.88,0.0,5,0,0,0,0,0.0,0.0,0.08,1.0,0.2,0.0,1.1,0.32,5,0,0,0,0,0.0,0.0,0.18
Nick Bellore ,SEA,RB,4.0,10,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,1,0.1,1,0.1,4,0.4,4.0,0,0.0,1,0.1,1,0.1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10,0,0,0,0,0.0,0.0,0.01,0.5,0.05,0.0,0.16,0.13,10,0,0,0,0,0.0,0.0,0.06,1.0,0.1,0.0,0.32,0.22,10,0,0,0,0,0.0,0.0,0.1
Darius Bradwell ,FA,RB,61.0,2,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0.0,0.0,0.02
Giovanni Ricci ,CAR,RB,3.0,9,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.22,0,0.0,0.0,0,0.0,0,0.0,2,0.22,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9,0,0,0,0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,9,0,0,0,0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,9,0,0,0,0,0.0,0.0,0.02
Tory Carter ,FA,RB,66.0,5,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,0,0.0,0.0,0,0.0,0,0.0,1,0.2,0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,5,0,0,0,0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,5,0,0,0,0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,5,0,0,0,0,0.0,0.0,0.02
Sewo Olonilua ,FA,RB,75.0,1,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0
Trey Ragas ,FA,RB,44.5,1,1,1.0,9,9.0,9.0,9,9.0,0,0.0,0,0.0,2,2.0,2,2.0,6,6.0,3.0,0,0.0,3,3.0,3,3.0,0,0.0,0.0,0.3,1.5,1.5,1.5,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0,2.5,2.5,2.5,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0,3.5,3.5,3.5,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0
J.K. Dobbins ,BAL,RB,2.0,1,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0
J.P. Holtz ,FA,RB,75.0,5,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,0,0,0.0,0.0,0.0
Jacques Patrick ,FA,RB,51.5,1,2,2.0,12,12.0,6.0,8,8.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,2,2.0,2,2.0,0,0.0,0.0,0.3,1.2,1.2,1.2,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0,1.2,1.2,1.2,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0,1.2,1.2,1.2,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0
Elijah McGuire ,FA,RB,75.0,3,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0.0,0.0,0.0
Ito Smith ,FA,RB,57.5,1,1,1.0,4,4.0,4.0,4,4.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,1,1.0,1,1.0,0,0.0,0.0,0.3,6.4,6.4,6.4,0.0,0.0,0,1,0,0,0,0.0,0.0,0.0,6.4,6.4,6.4,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0,6.4,6.4,6.4,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0
Gerrid Doaks ,HOU,RB,4.5,4,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0.0,0.0,0.0
Tarik Cohen ,FA,RB,75.0,1,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0
Taiwan Jones ,FA,RB,75.0,7,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0,0,0,0.0,0.0,0.0
Sutton Smith ,FA,RB,75.0,1,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0
Spencer Brown ,CAR,RB,4.0,1,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0
Cullen Gillaspia ,FA,RB,75.0,4,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0.0,0.0,0.0
