Player,TEAM,POS,G,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_LG,rush_LG_mean,rush_20,rush_20_mean,rush_TD,rush_TD_mean,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_TD,rec_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Tyler Allgeier ,ATL,RB,16.0,210.0,13.12,1035.0,64.69,4.93,44.0,20.0,12.0,0.75,3.0,0.19,16.0,1.0,17.0,1.06,139.0,8.69,8.69,1.0,0.06,226.0,14.12,227.0,14.19,0.0,0.0,0.0,1.0,143.4,8.96,8.4,5.73,9.35,7.0,1.0,4.0,3.0,1.0,1.0,0.57,9.16,151.4,9.46,8.9,5.86,9.93,8.0,0.0,5.0,2.0,1.0,1.0,0.38,9.54,159.4,9.96,9.2,6.06,10.5,8.0,2.0,4.0,1.0,1.0,0.6,0.25,9.66
Devin Singletary ,HOU,RB,16.65,176.95,10.65,818.15,49.33,4.63,38.3,16.45,7.7,0.46,5.05,0.3,38.05,2.29,50.75,3.05,261.6,15.72,6.89,0.95,0.06,215.0,12.94,227.7,13.71,1.95,0.12,0.01,1.0,140.07,8.43,7.6,5.57,8.86,6.65,4.25,1.8,2.8,1.15,0.56,0.61,8.39,159.1,9.57,8.74,5.9,10.03,6.3,4.35,2.05,3.4,0.55,0.6,0.64,9.33,178.12,10.71,9.77,6.37,11.14,5.4,5.9,2.2,2.0,1.15,0.5,0.63,10.14
Myles Gaskin ,MIA,RB,14.0,148.12,10.55,545.12,39.47,3.7,28.62,11.65,2.75,0.2,2.75,0.2,41.75,2.95,52.62,3.71,249.62,19.21,6.26,3.0,0.2,189.88,13.5,200.75,14.26,1.12,0.09,0.0,0.99,111.72,8.1,6.39,6.12,8.27,6.88,2.12,1.75,2.37,0.87,0.87,1.0,7.94,132.6,9.57,7.54,6.75,9.67,6.25,2.5,2.0,2.37,0.87,1.28,1.02,9.17,153.48,11.05,9.24,7.45,11.04,5.62,2.5,2.62,2.37,0.87,1.36,1.06,10.44
Melvin Gordon III ,FA,RB,12.1,134.35,10.68,549.5,42.55,3.9,35.4,12.55,3.1,0.2,4.5,0.34,27.3,2.33,35.85,3.04,217.65,18.99,8.1,0.65,0.04,161.65,13.01,170.2,13.72,2.5,0.21,0.02,1.0,102.64,8.03,7.34,5.02,8.6,4.15,3.55,2.05,1.65,0.7,0.57,0.95,8.27,116.29,9.19,8.48,5.49,9.76,4.3,3.4,2.4,1.45,0.55,0.57,0.63,9.11,129.94,10.35,9.86,6.01,10.9,4.4,2.55,3.5,1.05,0.6,0.77,0.5,10.19
Damien Harris ,BUF,RB,11.95,134.53,11.08,609.0,50.1,4.49,40.11,15.26,6.21,0.48,6.05,0.45,16.0,1.35,20.53,1.74,101.47,8.43,6.63,0.0,0.0,150.53,12.42,155.05,12.82,0.53,0.03,0.0,1.0,106.31,8.52,7.42,5.41,8.97,5.26,1.37,2.37,2.42,0.53,1.07,1.01,8.62,114.31,9.19,8.36,5.46,9.77,5.26,2.11,2.26,1.79,0.53,0.68,0.91,9.1,122.31,9.86,9.4,5.54,10.59,5.63,1.74,2.37,1.68,0.53,0.68,0.61,9.77
Raheem Mostert ,MIA,RB,14.93,167.8,11.35,833.73,56.45,4.98,67.0,18.95,8.47,0.58,3.2,0.22,27.87,1.88,37.6,2.51,194.4,13.45,7.37,1.87,0.12,195.67,13.23,205.4,13.87,1.07,0.07,0.0,0.99,131.08,8.89,7.43,5.84,9.24,5.47,4.53,0.4,3.33,1.2,0.51,0.96,8.48,145.01,9.83,8.06,6.4,10.1,5.6,4.47,0.33,4.2,0.33,0.49,0.83,9.03,158.95,10.77,8.57,7.05,10.93,6.4,3.73,1.07,2.6,1.13,0.48,0.62,9.5
Clyde Edwards-Helaire ,KC,RB,10.32,95.21,9.08,411.32,39.18,4.29,40.58,13.04,3.58,0.35,3.37,0.33,19.53,1.87,26.26,2.49,157.68,15.05,8.11,2.53,0.25,114.74,10.95,121.47,11.58,0.53,0.05,0.0,1.0,91.74,8.83,7.24,6.76,8.93,3.89,2.32,1.47,1.16,1.47,0.66,0.94,8.19,101.51,9.77,8.17,7.08,9.88,3.89,2.11,1.84,1.11,1.37,0.72,0.86,8.96,111.27,10.7,9.14,7.48,10.83,3.89,1.89,2.05,1.21,1.26,0.84,0.86,9.78
James Robinson ,NE,RB,12.11,137.89,11.2,582.89,46.87,4.14,51.79,16.4,7.74,0.65,4.74,0.37,20.26,1.58,27.26,2.12,126.84,9.69,5.55,1.58,0.14,158.16,12.79,165.16,13.32,0.63,0.04,0.0,1.0,107.82,8.65,6.19,7.08,8.57,5.84,0.58,1.58,2.26,1.84,0.97,1.22,8.03,117.95,9.44,7.34,7.49,9.33,5.74,0.68,2.21,2.37,1.11,0.97,1.13,8.77,128.08,10.24,8.5,7.95,10.08,5.47,1.11,2.16,2.68,0.68,1.01,1.1,9.55
J.K. Dobbins ,BAL,RB,9.0,98.0,11.13,560.71,63.38,5.7,48.0,20.37,8.14,0.9,3.0,0.3,8.57,0.93,10.29,1.09,53.14,5.64,6.1,0.86,0.1,106.57,12.06,108.29,12.22,0.0,0.0,0.0,0.96,85.1,9.39,8.24,6.59,9.46,4.29,1.0,1.29,0.57,1.86,0.68,0.55,8.42,89.39,9.84,8.31,6.85,9.93,4.29,1.0,1.71,1.0,1.0,0.68,0.48,8.61,93.67,10.3,8.43,7.17,10.42,4.14,1.14,1.71,1.0,1.0,0.68,0.49,8.85
Latavius Murray ,FA,RB,14.2,154.25,10.88,678.7,47.88,4.38,47.8,13.77,7.25,0.51,5.75,0.41,22.7,1.59,29.0,2.04,127.3,8.91,5.92,0.15,0.01,176.95,12.48,183.25,12.92,0.0,0.0,0.0,1.0,117.2,8.27,6.5,5.78,8.62,5.15,3.95,3.35,0.6,1.15,0.59,0.46,7.75,128.55,9.06,7.68,5.77,9.58,6.6,3.35,1.9,1.2,1.15,0.45,0.42,8.52,139.9,9.86,8.75,5.81,10.53,6.7,3.5,1.65,2.15,0.2,0.42,0.42,9.32
