,,,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RUSHING,RUSHING,RUSHING,MISC,STANDARD
Player,Season,Week,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,FPTS
Brycen Hopkins (LAR),2021,15,1,1,9,9.0,9,0,0,0,0,0,0,0.9
Kyle Rudolph (FA),2021,15,1,1,9,9.0,9,0,0,0,0,0,0,0.9
Tommy Tremble (CAR),2021,15,1,4,8,8.0,8,0,0,0,0,0,0,0.8
Jack Stoll (PHI),2021,15,1,1,7,7.0,7,0,0,0,0,0,0,0.7
Tyler Conklin (NYJ),2021,15,1,3,7,7.0,7,0,0,0,0,0,0,0.7
Hayden Hurst (CAR),2021,15,2,2,6,3.0,4,0,0,0,0,0,0,0.6
Geoff Swaim (FA),2021,15,1,2,5,5.0,5,0,0,0,0,0,0,0.5
Jonnu Smith (ATL),2021,15,1,3,3,3.0,3,0,0,1,2,0,0,0.5
Ian Thomas (CAR),2021,15,1,1,5,5.0,5,0,0,0,0,0,0,0.5
Pharaoh Brown (FA),2021,15,2,2,5,2.5,3,0,0,0,0,0,0,0.5
Adam Trautman (NO),2021,15,1,2,4,4.0,4,0,0,0,0,0,0,0.4
Tre' McKitty (LAC),2021,15,1,1,4,4.0,4,0,0,0,0,0,0,0.4
Durham Smythe (MIA),2021,15,1,1,4,4.0,4,0,0,0,0,0,0,0.4
Will Dissly (SEA),2021,15,1,1,3,3.0,3,0,0,0,0,0,0,0.3
Blake Bell (KC),2021,15,0,1,0,0.0,0,0,0,1,3,0,0,0.3
Drew Sample (FA),2021,15,1,1,2,2.0,2,0,0,0,0,0,0,0.2
MyCole Pruitt (FA),2021,15,1,1,1,1.0,1,0,0,0,0,0,0,0.1
Rashod Berry (IND),2021,15,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Andrew Beck (HOU),2021,15,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Donald Parham Jr. (LAC),2021,15,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Tommy Sweeney (NYG),2021,15,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Kendall Blanton (KC),2021,15,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Giovanni Ricci (CAR),2021,15,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Juwan Johnson (NO),2021,15,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Mitchell Wilcox (FA),2021,15,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Charlie Woerner (SF),2021,15,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Colby Parkinson (SEA),2021,15,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Brock Wright (DET),2021,15,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Hunter Long (LAR),2021,15,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Miller Forristall (NO),2021,15,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Luke Stocker (FA),2021,15,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Lee Smith (FA),2021,15,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Demetrius Harris (FA),2021,15,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Jack Doyle (FA),2021,15,1,1,0,0.0,0,0,0,0,0,0,0,0.0
Nick Vannett (NYG),2021,15,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Taysom Hill (NO),2021,15,0,0,0,0.0,0,0,0,11,33,0,0,0.0
O.J. Howard (LV),2021,15,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Jacob Hollister (FA),2021,15,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Mo Alie-Cox (IND),2021,15,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Daniel Helm (FA),2021,15,1,1,-1,-1.0,0,0,0,0,0,0,0,-0.1
Anthony Firkser (FA),2021,15,2,2,19,9.5,11,0,0,0,0,0,1,-0.1
Mark Andrews (BAL),2021,16,8,10,125,15.6,28,2,1,0,0,0,0,18.5
Dalton Schultz (HOU),2021,16,8,9,82,10.3,16,0,1,0,0,0,0,14.2
Gerald Everett (LAC),2021,16,4,5,68,17.0,26,2,1,0,0,0,0,12.8
John Bates (WAS),2021,16,2,3,45,22.5,32,2,1,0,0,0,0,10.5
Kyle Pitts (ATL),2021,16,6,6,102,17.0,35,2,0,0,0,0,0,10.2
Jimmy Graham (FA),2021,16,2,2,30,15.0,15,0,1,0,0,0,0,9.0
Hayden Hurst (CAR),2021,16,2,2,21,10.5,12,0,1,0,0,0,0,8.1
Evan Engram (JAC),2021,16,4,5,17,4.3,9,0,1,0,0,0,0,7.7
Dawson Knox (BUF),2021,16,2,3,11,5.5,9,0,1,0,0,0,0,7.1
Cameron Brate (FA),2021,16,2,4,11,5.5,7,0,1,0,0,0,0,7.1
Foster Moreau (FA),2021,16,4,4,67,16.8,28,2,0,0,0,0,0,6.7
Jared Cook (FA),2021,16,3,5,44,14.7,18,0,0,0,0,0,0,6.4
Harrison Bryant (CLE),2021,16,1,1,1,1.0,1,0,1,0,0,0,0,6.1
Brevin Jordan (HOU),2021,16,4,4,56,14.0,27,1,0,0,0,0,0,5.6
Zach Ertz (ARI),2021,16,8,13,54,6.8,11,0,0,0,0,0,0,5.4
Cole Kmet (CHI),2021,16,4,5,49,12.3,16,0,0,0,0,0,0,4.9
James O'Shaughnessy (FA),2021,16,4,4,49,12.3,22,1,0,0,0,0,0,4.9
Tyler Conklin (NYJ),2021,16,4,5,44,11.0,19,0,0,0,0,0,0,4.4
Mo Alie-Cox (IND),2021,16,2,4,42,21.0,37,2,0,0,0,0,0,4.2
Tyler Higbee (LAR),2021,16,5,6,41,8.2,12,0,0,0,0,0,0,4.1
C.J. Uzomah (NYJ),2021,16,5,7,36,7.2,16,0,0,0,0,0,0,3.6
Stephen Anderson (FA),2021,16,2,2,34,17.0,27,1,0,0,0,0,0,3.4
Zach Gentry (PIT),2021,16,4,4,31,7.8,12,0,0,0,0,0,0,3.1
Durham Smythe (MIA),2021,16,3,3,31,10.3,13,0,0,0,0,0,0,3.1
Noah Fant (SEA),2021,16,3,4,30,10.0,20,1,0,0,0,0,0,3.0
Tyler Kroft (FA),2021,16,3,5,29,9.7,22,1,0,0,0,0,0,2.9
Dallas Goedert (PHI),2021,16,2,4,28,14.0,16,0,0,0,0,0,0,2.8
Austin Hooper (LV),2021,16,3,5,26,8.7,11,0,0,0,0,0,0,2.6
Rob Gronkowski (FA),2021,16,1,2,23,23.0,23,1,0,0,0,0,0,2.3
Tommy Tremble (CAR),2021,16,2,2,22,11.0,14,0,0,0,0,0,0,2.2
Mike Gesicki (NE),2021,16,3,4,22,7.3,12,0,0,0,0,0,0,2.2
George Kittle (SF),2021,16,2,3,21,10.5,16,0,0,0,0,0,0,2.1
Jacob Hollister (FA),2021,16,2,2,20,10.0,11,0,0,0,0,0,0,2.0
Anthony Firkser (FA),2021,16,1,1,13,13.0,13,0,0,0,0,0,0,1.3
Tre' McKitty (LAC),2021,16,1,1,12,12.0,12,0,0,0,0,0,0,1.2
Noah Gray (KC),2021,16,2,2,12,6.0,7,0,0,0,0,0,0,1.2
Blake Bell (KC),2021,16,1,1,11,11.0,11,0,0,0,0,0,0,1.1
Geoff Swaim (FA),2021,16,3,3,10,3.3,6,0,0,0,0,0,0,1.0
Pharaoh Brown (FA),2021,16,2,3,10,5.0,6,0,0,0,0,0,0,1.0
Hunter Henry (NE),2021,16,1,6,9,9.0,9,0,0,0,0,0,0,0.9
Drew Sample (FA),2021,16,2,2,9,4.5,5,0,0,0,0,0,0,0.9
Ethan Wolf (FA),2021,16,2,2,8,4.0,4,0,0,0,0,0,0,0.8
Kevin Rader (TEN),2021,16,1,2,7,7.0,7,0,0,0,0,0,0,0.7
Chris Myarick (NYG),2021,16,1,2,6,6.0,6,0,0,0,0,0,0,0.6
Kylen Granson (IND),2021,16,1,1,6,6.0,6,0,0,0,0,0,0,0.6
Josiah Deguara (GB),2021,16,2,3,5,2.5,4,0,0,0,0,0,0,0.5
Ian Thomas (CAR),2021,16,1,1,4,4.0,4,0,0,0,0,0,0,0.4
Brock Wright (DET),2021,16,3,3,4,1.3,5,0,0,0,0,0,0,0.4
Demetrius Harris (FA),2021,16,1,1,3,3.0,3,0,0,0,0,0,0,0.3
Marcedes Lewis (FA),2021,16,2,3,2,1.0,1,0,0,0,0,0,0,0.2
Farrod Green (FA),2021,16,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Sean McKeon (DAL),2021,16,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Giovanni Ricci (CAR),2021,16,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Reggie Gilliam (BUF),2021,16,1,1,8,8.0,8,0,0,0,0,0,0,0.0
Rashod Berry (IND),2021,16,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Stephen Sullivan (CAR),2021,16,0,1,0,0.0,0,0,0,0,0,0,0,0.0
J.J. Arcega-Whiteside (FA),2021,16,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Albert Okwuegbunam (DEN),2021,16,0,2,0,0.0,0,0,0,0,0,0,0,0.0
Tyree Jackson (PHI),2021,16,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Jordan Akins (CLE),2021,16,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Trevon Wesco (FA),2021,16,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Colby Parkinson (SEA),2021,16,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Mitchell Wilcox (FA),2021,16,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Shane Zylstra (DET),2021,16,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Briley Moore (FA),2021,16,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Jack Stoll (PHI),2021,16,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Sammis Reyes (FA),2021,16,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Kyle Rudolph (FA),2021,16,0,1,0,0.0,0,0,0,0,0,0,0,0.0
J.P. Holtz (FA),2021,16,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Nick Vannett (NYG),2021,16,0,1,0,0.0,0,0,0,0,0,0,0,0.0
James Winchester (KC),2021,16,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Patrick Scales (CHI),2021,16,0,0,0,0.0,0,0,0,0,0,0,0,0.0
O.J. Howard (LV),2021,16,0,0,0,0.0,0,0,0,0,0,0,0,0.0
David Njoku (CLE),2021,16,0,2,0,0.0,0,0,0,0,0,0,0,0.0
Jonnu Smith (ATL),2021,16,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Jeremy Sprinkle (FA),2021,16,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Eric Tomlinson (FA),2021,16,0,0,0,0.0,0,0,0,0,0,0,0,0.0
MyCole Pruitt (FA),2021,16,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Ricky Seals-Jones (FA),2021,16,1,1,-4,-4.0,0,0,0,0,0,0,0,-0.4
Noah Fant (SEA),2021,17,6,7,92,15.3,35,2,1,0,0,0,0,15.2
Rob Gronkowski (FA),2021,17,7,10,115,16.4,24,3,0,0,0,0,0,11.5
