,,,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,MISC,STANDARD
Kenyan Drake (FA),2020,3,18,73,4.1,15,0,0,1,1,6,6.0,0,0,7.9
Chris Carson (FA),2020,3,14,64,4.6,23,1,0,3,3,12,4.0,0,0,7.6
Ronald Jones II (DAL),2020,3,13,53,4.1,13,0,0,2,4,20,10.0,0,0,7.3
Joe Mixon (CIN),2020,3,17,49,2.9,11,0,0,2,3,16,8.0,0,0,6.5
Anthony Sherman (FA),2020,3,1,0,0.0,0,0,0,1,1,5,5.0,1,0,6.5
Latavius Murray (FA),2020,3,12,58,4.8,10,0,0,1,1,7,7.0,0,0,6.5
Josh Jacobs (LV),2020,3,16,71,4.4,13,0,0,3,4,12,4.0,0,1,6.3
Frank Gore (FA),2020,3,15,57,3.8,10,0,0,1,1,5,5.0,0,0,6.2
Jordan Howard (FA),2020,3,3,1,0.3,1,0,1,0,0,0,0.0,0,0,6.1
Nyheim Hines (BUF),2020,3,7,21,3.0,11,0,0,4,5,40,10.0,0,0,6.1
Giovani Bernard (FA),2020,3,0,0,0.0,0,0,0,3,3,55,18.3,0,0,5.5
David Montgomery (DET),2020,3,14,45,3.2,11,0,0,2,3,9,4.5,0,0,5.4
Kalen Ballage (FA),2020,3,2,8,4.0,4,0,0,5,5,44,8.8,0,0,5.2
J.D. McKissic (FA),2020,3,5,15,3.0,7,0,0,3,4,37,12.3,0,0,5.2
Anthony McFarland Jr. (PIT),2020,3,6,42,7.0,20,1,0,1,2,7,7.0,0,0,4.9
Jordan Wilkins (FA),2020,3,9,39,4.3,22,1,0,1,1,6,6.0,0,0,4.5
J.K. Dobbins (BAL),2020,3,1,6,6.0,6,0,0,4,4,38,9.5,0,0,4.4
J.J. Taylor (NE),2020,3,11,43,3.9,9,0,0,0,1,0,0.0,0,0,4.3
Tarik Cohen (FA),2020,3,2,21,10.5,17,0,0,3,6,20,6.7,0,0,4.1
Gus Edwards (BAL),2020,3,4,39,9.8,24,1,0,0,0,0,0.0,0,0,3.9
Melvin Gordon III (FA),2020,3,8,26,3.3,9,0,0,4,6,12,3.0,0,0,3.8
Chris Thompson (FA),2020,3,2,3,1.5,4,0,0,5,6,35,7.0,0,0,3.8
Royce Freeman (FA),2020,3,2,4,2.0,2,0,0,2,2,31,15.5,0,0,3.5
Chase Edmonds (TB),2020,3,3,13,4.3,5,0,0,2,2,21,10.5,0,0,3.4
Joshua Kelley (LAC),2020,3,8,43,5.4,16,0,0,2,2,9,4.5,0,1,3.2
Devontae Booker (FA),2020,3,3,31,10.3,23,1,0,0,0,0,0.0,0,0,3.1
Mark Ingram II (FA),2020,3,7,30,4.3,11,0,0,0,1,0,0.0,0,0,3.0
Kerryon Johnson (FA),2020,3,3,16,5.3,9,0,0,1,1,14,14.0,0,0,3.0
Alexander Mattison (MIN),2020,3,8,27,3.4,15,0,0,0,0,0,0.0,0,0,2.7
LeSean McCoy (FA),2020,3,0,0,0.0,0,0,0,2,4,24,12.0,0,0,2.4
Carlos Hyde (FA),2020,3,4,12,3.0,4,0,0,1,1,11,11.0,0,0,2.3
La'Mical Perine (KC),2020,3,7,24,3.4,11,0,0,2,2,-1,-0.5,0,0,2.3
Leonard Fournette (FA),2020,3,7,15,2.1,6,0,0,2,2,7,3.5,0,0,2.2
Jalen Richard (FA),2020,3,1,14,14.0,14,0,0,3,3,8,2.7,0,0,2.2
D'Andre Swift (DET),2020,3,0,0,0.0,0,0,0,1,2,19,19.0,0,0,1.9
Travis Homer (CHI),2020,3,2,19,9.5,12,0,0,0,1,0,0.0,0,0,1.9
Malcolm Brown (FA),2020,3,7,19,2.7,6,0,0,0,2,0,0.0,0,0,1.9
T.J. Yeldon (FA),2020,3,3,18,6.0,9,0,0,0,0,0,0.0,0,0,1.8
JaMycal Hasty (JAC),2020,3,2,9,4.5,6,0,0,1,1,9,9.0,0,0,1.8
Jamaal Williams (NO),2020,3,6,14,2.3,6,0,0,1,1,3,3.0,0,0,1.7
Reggie Bonnafon (FA),2020,3,2,16,8.0,13,0,0,0,0,0,0.0,0,0,1.6
Wayne Gallman Jr. (FA),2020,3,4,7,1.8,4,0,0,2,3,7,3.5,0,0,1.4
Tyler Ervin (FA),2020,3,1,5,5.0,5,0,0,2,2,8,4.0,0,0,1.3
Andy Janovich (FA),2020,3,0,0,0.0,0,0,0,1,1,13,13.0,0,0,1.3
Alec Ingold (MIA),2020,3,0,0,0.0,0,0,0,1,1,11,11.0,0,0,1.1
Benny Snell Jr. (FA),2020,3,7,11,1.6,4,0,0,0,0,0,0.0,0,0,1.1
C.J. Ham (MIN),2020,3,0,0,0.0,0,0,0,1,2,11,11.0,0,0,1.1
Dion Lewis (FA),2020,3,1,0,0.0,0,0,0,1,3,10,10.0,0,0,1.0
Devonta Freeman (FA),2020,3,5,10,2.0,6,0,0,0,0,0,0.0,0,0,1.0
Darrynton Evans (CHI),2020,3,3,9,3.0,4,0,0,0,0,0,0.0,0,0,0.9
Corey Clement (ARI),2020,3,3,8,2.7,5,0,0,0,0,0,0.0,0,0,0.8
Kyle Juszczyk (SF),2020,3,0,0,0.0,0,0,0,1,1,7,7.0,0,0,0.7
Darrel Williams (FA),2020,3,2,6,3.0,6,0,0,2,2,1,0.5,0,0,0.7
Peyton Barber (FA),2020,3,3,6,2.0,3,0,0,0,0,0,0.0,0,0,0.6
Cullen Gillaspia (FA),2020,3,0,0,0.0,0,0,0,1,1,6,6.0,0,0,0.6
Jakob Johnson (LV),2020,3,0,0,0.0,0,0,0,1,1,6,6.0,0,0,0.6
Boston Scott (PHI),2020,3,3,5,1.7,4,0,0,0,1,0,0.0,0,0,0.5
Jeremy McNichols (PIT),2020,3,0,0,0.0,0,0,0,1,1,5,5.0,0,0,0.5
Matt Breida (NYG),2020,3,3,4,1.3,3,0,0,0,0,0,0.0,0,0,0.4
Keith Smith (ATL),2020,3,0,0,0.0,0,0,0,1,1,3,3.0,0,0,0.3
C.J. Prosise (FA),2020,3,1,1,1.0,1,0,0,0,0,0,0.0,0,0,0.1
Jaylen Samuels (FA),2020,3,1,1,1.0,1,0,0,0,0,0,0.0,0,0,0.1
Reggie Gilliam (BUF),2020,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Andrew Beck (HOU),2020,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Chandler Cox (FA),2020,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
John Lovett (MIA),2020,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Khari Blasingame (CHI),2020,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Qadree Ollison (JAC),2020,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Patrick Laird (TB),2020,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
D'Ernest Johnson (JAC),2020,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Gabe Nabers (FA),2020,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Jonathan Ward (TEN),2020,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Rico Dowdle (DAL),2020,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
AJ Dillon (GB),2020,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
LeVante Bellamy (FA),2020,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Raymond Calais (FA),2020,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
DeeJay Dallas (SEA),2020,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Xavier Jones (FA),2020,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Darius Bradwell (FA),2020,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Nick Bellore (SEA),2020,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Bruce Miller (FA),2020,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Taiwan Jones (FA),2020,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Cordarrelle Patterson (ATL),2020,3,4,13,3.3,6,0,0,0,0,0,0.0,0,0,0.0
Kenjon Barner (FA),2020,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Elijhaa Penny (FA),2020,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Samaje Perine (DEN),2020,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
J.P. Holtz (FA),2020,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Derek Watt (FA),2020,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Dwayne Washington (NO),2020,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Jason Cabinda (DET),2020,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Buddy Howell (FA),2020,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Mike Boone (HOU),2020,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Ryan Nall (FA),2020,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Ito Smith (FA),2020,3,0,0,0.0,0,0,0,0,2,0,0.0,0,0,0.0
Dare Ogunbowale (HOU),2020,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Alex Armah Jr. (WAS),2020,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Patrick Ricard (BAL),2020,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Michael Burton (DEN),2020,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Ameer Abdullah (LV),2020,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Tony Pollard (DAL),2020,3,0,0,0.0,0,0,0,1,1,-5,-5.0,0,0,-0.5
Darwin Thompson (SEA),2020,3,2,11,5.5,10,0,0,0,2,0,0.0,0,1,-0.9
Joe Mixon (CIN),2020,4,25,151,6.0,34,4,2,6,6,30,5.0,1,0,36.1
Dalvin Cook (MIN),2020,4,27,130,4.8,15,0,2,2,2,16,8.0,0,0,26.6
Melvin Gordon III (FA),2020,4,23,107,4.7,43,3,2,2,3,11,5.5,0,0,23.8
Chris Carson (FA),2020,4,16,80,5.0,18,0,2,3,4,20,6.7,0,0,22.0
Latavius Murray (FA),2020,4,14,64,4.6,11,0,2,1,2,19,19.0,0,0,20.3
Kareem Hunt (FA),2020,4,11,71,6.5,14,0,2,0,0,0,0.0,0,0,19.1
Antonio Gibson (WAS),2020,4,13,46,3.5,10,0,1,4,5,82,20.5,0,0,18.8
Todd Gurley II (FA),2020,4,16,57,3.6,13,0,2,1,1,6,6.0,0,0,18.3
Alvin Kamara (NO),2020,4,19,83,4.4,12,0,1,3,4,36,12.0,0,0,17.9
Aaron Jones (GB),2020,4,15,71,4.7,23,1,0,5,5,40,8.0,1,0,17.1
Mike Davis (FA),2020,4,16,84,5.3,21,1,1,5,6,27,5.4,0,0,17.1
Jerick McKinnon (FA),2020,4,14,54,3.9,15,0,1,7,8,43,6.1,0,0,15.7
Devin Singletary (HOU),2020,4,18,56,3.1,11,0,1,5,6,21,4.2,0,0,13.7
Reggie Bonnafon (FA),2020,4,10,53,5.3,22,1,0,2,2,18,9.0,1,0,13.1
Ronald Jones II (DAL),2020,4,20,111,5.6,23,1,0,6,9,17,2.8,0,0,12.8
Ezekiel Elliott (FA),2020,4,12,54,4.5,24,1,0,8,8,71,8.9,0,1,12.5
D'Andre Swift (DET),2020,4,4,22,5.5,7,0,0,4,4,30,7.5,1,0,11.2
James Robinson (NE),2020,4,17,75,4.4,14,0,0,4,4,32,8.0,0,0,10.7
Jamaal Williams (NO),2020,4,8,10,1.3,5,0,0,8,8,95,11.9,0,0,10.5
Damien Harris (BUF),2020,4,17,100,5.9,41,3,0,0,0,0,0.0,0,0,10.0
Chase Edmonds (TB),2020,4,4,16,4.0,9,0,0,5,6,24,4.8,1,0,10.0
Mark Ingram II (FA),2020,4,8,34,4.3,8,0,1,1,1,3,3.0,0,0,9.7
Adrian Peterson (FA),2020,4,11,36,3.3,10,0,1,0,2,0,0.0,0,0,9.6
D'Ernest Johnson (JAC),2020,4,13,95,7.3,28,1,0,0,0,0,0.0,0,0,9.5
Tony Pollard (DAL),2020,4,3,16,5.3,8,0,1,1,2,16,16.0,0,0,9.2
David Johnson (FA),2020,4,16,63,3.9,15,0,0,2,3,29,14.5,0,0,9.2
Clyde Edwards-Helaire (KC),2020,4,16,64,4.0,13,0,0,3,3,27,9.0,0,0,9.1
Ke'Shawn Vaughn (TB),2020,4,3,4,1.3,3,0,0,2,3,22,11.0,1,0,8.6
Jonathan Taylor (IND),2020,4,17,68,4.0,16,0,0,1,1,11,11.0,0,0,7.9
Alexander Mattison (MIN),2020,4,7,17,2.4,4,0,1,0,0,0,0.0,0,0,7.7
David Montgomery (DET),2020,4,10,27,2.7,6,0,0,3,6,30,10.0,0,0,7.7
Miles Sanders (CAR),2020,4,13,46,3.5,9,0,0,2,4,30,15.0,0,0,7.6
Josh Jacobs (LV),2020,4,15,48,3.2,16,0,0,3,4,25,8.3,0,0,7.3
Devonta Freeman (FA),2020,4,11,33,3.0,10,0,0,4,4,35,8.8,0,0,6.8
Travis Homer (CHI),2020,4,4,5,1.3,8,0,0,1,1,3,3.0,1,0,6.8
Myles Gaskin (MIA),2020,4,10,40,4.0,11,0,0,3,4,22,7.3,0,0,6.2
James White (FA),2020,4,3,21,7.0,10,0,0,7,8,38,5.4,0,0,5.9
Malcolm Brown (FA),2020,4,9,38,4.2,13,0,0,5,6,19,3.8,0,0,5.7
Rex Burkhead (FA),2020,4,11,45,4.1,18,0,0,1,1,5,5.0,0,0,5.0
Matt Breida (NYG),2020,4,3,9,3.0,4,0,0,3,3,39,13.0,0,0,4.8
Duke Johnson Jr. (FA),2020,4,5,24,4.8,8,0,0,3,4,21,7.0,0,0,4.5
Wayne Gallman Jr. (FA),2020,4,6,45,7.5,26,1,0,0,0,0,0.0,0,0,4.5
Nick Chubb (CLE),2020,4,6,43,7.2,21,1,0,0,0,0,0.0,0,0,4.3
Gus Edwards (BAL),2020,4,9,38,4.2,13,0,0,0,0,0,0.0,0,0,3.8
Darrell Henderson Jr. (FA),2020,4,8,21,2.6,4,0,0,1,1,16,16.0,0,0,3.7
Frank Gore (FA),2020,4,13,30,2.3,6,0,0,1,2,6,6.0,0,0,3.6
Kenyan Drake (FA),2020,4,13,35,2.7,9,0,0,0,0,0,0.0,0,0,3.5
Nyheim Hines (BUF),2020,4,9,24,2.7,12,0,0,3,3,8,2.7,0,0,3.2
Jordan Wilkins (FA),2020,4,9,15,1.7,6,0,0,1,1,16,16.0,0,0,3.1
Alec Ingold (MIA),2020,4,1,-1,-1.0,0,0,0,2,2,29,14.5,0,0,2.8
Ito Smith (FA),2020,4,2,3,1.5,3,0,0,3,3,24,8.0,0,0,2.7
J.D. McKissic (FA),2020,4,2,6,3.0,5,0,0,7,8,40,5.7,0,1,2.6
DeeJay Dallas (SEA),2020,4,2,8,4.0,6,0,0,2,2,15,7.5,0,0,2.3
Brian Hill (FA),2020,4,4,10,2.5,6,0,0,2,2,13,6.5,0,0,2.3
Justin Jackson (FA),2020,4,6,9,1.5,3,0,0,2,2,12,6.0,0,0,2.1
Dontrell Hilliard (FA),2020,4,5,19,3.8,10,0,0,1,1,2,2.0,0,0,2.1
Giovani Bernard (FA),2020,4,2,19,9.5,11,0,0,0,0,0,0.0,0,0,1.9
Jeff Wilson Jr. (MIA),2020,4,3,6,2.0,3,0,0,1,1,13,13.0,0,0,1.9
Dion Lewis (FA),2020,4,1,10,10.0,10,0,0,2,3,8,4.0,0,0,1.8
J.K. Dobbins (BAL),2020,4,5,16,3.2,14,0,0,1,2,1,1.0,0,0,1.7
Jalen Richard (FA),2020,4,1,6,6.0,6,0,0,2,4,10,5.0,0,0,1.6
La'Mical Perine (KC),2020,4,5,15,3.0,5,0,0,0,0,0,0.0,0,0,1.5
Austin Ekeler (LAC),2020,4,2,12,6.0,10,0,0,1,1,2,2.0,0,0,1.4
Joshua Kelley (LAC),2020,4,9,7,0.8,3,0,0,3,3,26,8.7,0,1,1.3
Kyle Juszczyk (SF),2020,4,0,0,0.0,0,0,0,1,2,13,13.0,0,0,1.3
Theo Riddick (FA),2020,4,2,13,6.5,11,0,0,0,0,0,0.0,0,0,1.3
Kerryon Johnson (FA),2020,4,3,9,3.0,5,0,0,1,1,3,3.0,0,0,1.2
Royce Freeman (FA),2020,4,3,6,2.0,3,0,0,2,2,6,3.0,0,0,1.2
Kalen Ballage (FA),2020,4,0,0,0.0,0,0,0,2,3,11,5.5,0,0,1.1
Gabe Nabers (FA),2020,4,1,4,4.0,4,0,0,1,1,5,5.0,0,0,0.9
Tyler Ervin (FA),2020,4,0,0,0.0,0,0,0,1,2,8,8.0,0,0,0.8
Michael Burton (DEN),2020,4,1,4,4.0,4,0,0,1,1,3,3.0,0,0,0.7
LeSean McCoy (FA),2020,4,1,3,3.0,3,0,0,1,1,3,3.0,0,0,0.6
Peyton Barber (FA),2020,4,3,5,1.7,3,0,0,0,1,0,0.0,0,0,0.5
Keith Smith (ATL),2020,4,0,0,0.0,0,0,0,1,1,4,4.0,0,0,0.4
Corey Clement (ARI),2020,4,2,3,1.5,2,0,0,0,0,0,0.0,0,0,0.3
Chandler Cox (FA),2020,4,0,0,0.0,0,0,0,1,1,3,3.0,0,0,0.3
AJ Dillon (GB),2020,4,1,3,3.0,3,0,0,0,0,0,0.0,0,0,0.3
Alex Armah Jr. (WAS),2020,4,1,2,2.0,2,0,0,0,0,0,0.0,0,0,0.2
Darrel Williams (FA),2020,4,1,2,2.0,2,0,0,0,1,0,0.0,0,0,0.2
C.J. Ham (MIN),2020,4,1,2,2.0,2,0,0,0,1,0,0.0,0,0,0.2
Boston Scott (PHI),2020,4,2,1,0.5,1,0,0,0,0,0,0.0,0,0,0.1
Jakob Johnson (LV),2020,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Andrew Beck (HOU),2020,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
John Lovett (MIA),2020,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Patrick Laird (TB),2020,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Justice Hill (BAL),2020,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Reggie Gilliam (BUF),2020,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Rico Dowdle (DAL),2020,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Jonathan Ward (TEN),2020,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
LeVante Bellamy (FA),2020,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
JaMycal Hasty (JAC),2020,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Raymond Calais (FA),2020,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Xavier Jones (FA),2020,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Nick Bellore (SEA),2020,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Bruce Miller (FA),2020,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Taiwan Jones (FA),2020,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Cordarrelle Patterson (ATL),2020,4,3,5,1.7,4,0,0,1,2,0,0.0,0,0,0.0
Kenjon Barner (FA),2020,4,0,0,0.0,0,0,0,0,1,0,0.0,0,0,0.0
Chris Thompson (FA),2020,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Elijhaa Penny (FA),2020,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
J.P. Holtz (FA),2020,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Samaje Perine (DEN),2020,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
C.J. Prosise (FA),2020,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Devontae Booker (FA),2020,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Andy Janovich (FA),2020,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Dwayne Washington (NO),2020,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Jason Cabinda (DET),2020,4,0,0,0.0,0,0,0,1,1,4,4.0,0,0,0.0
Ryan Nall (FA),2020,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Mike Boone (HOU),2020,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Buddy Howell (FA),2020,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Dare Ogunbowale (HOU),2020,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Patrick Ricard (BAL),2020,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
T.J. Yeldon (FA),2020,4,0,0,0.0,0,0,0,0,1,0,0.0,0,0,0.0
Ameer Abdullah (LV),2020,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Jordan Howard (FA),2020,4,2,2,1.0,3,0,0,1,1,-3,-3.0,0,0,-0.1
Adrian Killins Jr. (FA),2020,4,1,-12,-12.0,0,0,0,1,1,2,2.0,0,0,-1.0
Ezekiel Elliott (FA),2020,5,19,91,4.8,12,0,2,1,2,14,14.0,0,0,22.5
Miles Sanders (CAR),2020,5,11,80,7.3,74,4,2,2,4,19,9.5,0,0,21.9
Todd Gurley II (FA),2020,5,14,121,8.6,35,3,1,4,5,29,7.3,0,0,21.0
Mike Davis (FA),2020,5,16,89,5.6,15,0,0,9,10,60,6.7,1,0,20.9
Josh Jacobs (LV),2020,5,23,77,3.3,7,0,2,2,3,8,4.0,0,0,20.5
Darrell Henderson Jr. (FA),2020,5,15,38,2.5,7,0,1,3,4,30,10.0,1,0,18.8
Derrick Henry (TEN),2020,5,19,57,3.0,12,0,2,1,2,6,6.0,0,0,18.3
Kareem Hunt (FA),2020,5,20,72,3.6,10,0,0,3,4,21,7.0,1,0,15.3
Chase Edmonds (TB),2020,5,3,36,12.0,29,1,1,5,6,56,11.2,0,0,15.2
Myles Gaskin (MIA),2020,5,16,57,3.6,21,1,1,5,5,34,6.8,0,0,15.1
Dalvin Cook (MIN),2020,5,17,65,3.8,10,0,1,5,5,24,4.8,0,0,14.9
Devonta Freeman (FA),2020,5,17,60,3.5,9,0,1,2,3,27,13.5,0,0,14.7
Chris Carson (FA),2020,5,8,52,6.5,29,1,1,6,7,27,4.5,0,0,13.9
Alexander Mattison (MIN),2020,5,20,112,5.6,25,2,0,3,3,24,8.0,0,0,13.6
Jonathan Taylor (IND),2020,5,12,57,4.8,10,0,1,2,3,17,8.5,0,0,13.4
T.J. Yeldon (FA),2020,5,7,52,7.4,34,2,0,1,3,22,22.0,1,0,13.4
Ronald Jones II (DAL),2020,5,17,106,6.2,37,2,0,3,5,19,6.3,0,0,12.5
James Conner (ARI),2020,5,15,44,2.9,25,1,1,3,3,19,6.3,0,0,12.3
Kenyan Drake (FA),2020,5,18,60,3.3,10,0,1,1,1,2,2.0,0,0,12.2
Alvin Kamara (NO),2020,5,11,45,4.1,10,0,0,8,10,74,9.3,0,0,11.9
Raheem Mostert (MIA),2020,5,11,90,8.2,37,2,0,3,3,29,9.7,0,0,11.9
David Montgomery (DET),2020,5,10,29,2.9,7,0,1,7,8,30,4.3,0,0,11.9
David Johnson (FA),2020,5,17,96,5.6,29,1,0,2,4,7,3.5,0,0,10.3
Justin Jackson (FA),2020,5,15,71,4.7,36,2,0,5,6,23,4.6,0,0,9.4
Joe Mixon (CIN),2020,5,24,59,2.5,7,0,0,6,8,35,5.8,0,0,9.4
Clyde Edwards-Helaire (KC),2020,5,10,40,4.0,9,0,0,3,8,40,13.3,0,0,8.0
Kyle Juszczyk (SF),2020,5,2,11,5.5,7,0,1,0,1,0,0.0,0,0,7.1
Devontae Booker (FA),2020,5,7,62,8.9,43,3,0,1,1,5,5.0,0,0,6.7
Le'Veon Bell (FA),2020,5,13,60,4.6,13,0,0,1,1,7,7.0,0,0,6.7
Cam Akers (LAR),2020,5,9,61,6.8,46,3,0,0,0,0,0.0,0,0,6.1
Matt Breida (NYG),2020,5,9,28,3.1,12,0,0,1,1,31,31.0,0,0,5.9
Mark Ingram II (FA),2020,5,11,57,5.2,20,1,0,0,0,0,0.0,0,0,5.7
Latavius Murray (FA),2020,5,8,34,4.3,8,0,0,2,2,23,11.5,0,0,5.7
J.K. Dobbins (BAL),2020,5,1,34,34.0,34,2,0,3,3,21,7.0,0,0,5.5
Brian Hill (FA),2020,5,6,39,6.5,11,0,0,2,2,15,7.5,0,0,5.4
Antonio Gibson (WAS),2020,5,11,27,2.5,6,0,0,5,5,24,4.8,0,0,5.1
James Robinson (NE),2020,5,13,48,3.7,14,0,0,5,7,22,4.4,0,1,5.0
J.D. McKissic (FA),2020,5,1,3,3.0,3,0,0,6,8,46,7.7,0,0,4.9
Chris Thompson (FA),2020,5,2,7,3.5,4,0,0,3,3,35,11.7,0,0,4.2
Darrel Williams (FA),2020,5,1,4,4.0,4,0,0,1,5,15,15.0,0,0,3.9
Joshua Kelley (LAC),2020,5,11,29,2.6,9,0,0,1,1,9,9.0,0,0,3.8
D'Ernest Johnson (JAC),2020,5,8,32,4.0,28,1,0,1,1,4,4.0,0,0,3.6
Devin Singletary (HOU),2020,5,11,25,2.3,6,0,0,1,1,8,8.0,0,0,3.3
Tony Pollard (DAL),2020,5,6,30,5.0,13,0,0,2,3,2,1.0,0,0,3.2
Jeremy McNichols (PIT),2020,5,9,28,3.1,7,0,0,1,1,3,3.0,0,0,3.1
Jalen Richard (FA),2020,5,1,4,4.0,4,0,0,4,5,26,6.5,0,0,3.0
Nyheim Hines (BUF),2020,5,3,8,2.7,5,0,0,2,4,22,11.0,0,0,3.0
Frank Gore (FA),2020,5,9,30,3.3,11,0,0,0,0,0,0.0,0,0,3.0
Jeff Wilson Jr. (MIA),2020,5,4,27,6.8,9,0,0,0,1,0,0.0,0,0,2.7
Gus Edwards (BAL),2020,5,7,25,3.6,6,0,0,0,3,0,0.0,0,0,2.5
Alec Ingold (MIA),2020,5,0,0,0.0,0,0,0,2,4,25,12.5,0,0,2.5
Malcolm Brown (FA),2020,5,8,30,3.8,12,0,0,1,2,-6,-6.0,0,0,2.4
Wayne Gallman Jr. (FA),2020,5,5,24,4.8,13,0,0,2,2,0,0.0,0,0,2.4
Duke Johnson Jr. (FA),2020,5,3,8,2.7,3,0,0,1,1,11,11.0,0,0,1.9
Benny Snell Jr. (FA),2020,5,7,19,2.7,8,0,0,0,0,0,0.0,0,0,1.9
Mike Boone (HOU),2020,5,2,19,9.5,12,0,0,0,0,0,0.0,0,0,1.9
Travis Homer (CHI),2020,5,3,14,4.7,6,0,0,0,0,0,0.0,0,0,1.4
Darrynton Evans (CHI),2020,5,2,12,6.0,9,0,0,0,0,0,0.0,0,0,1.2
Patrick Ricard (BAL),2020,5,0,0,0.0,0,0,0,1,2,7,7.0,0,0,0.7
Chandler Cox (FA),2020,5,0,0,0.0,0,0,0,1,1,6,6.0,0,0,0.6
Ito Smith (FA),2020,5,2,6,3.0,5,0,0,0,0,0,0.0,0,0,0.6
Anthony McFarland Jr. (PIT),2020,5,3,6,2.0,4,0,0,0,0,0,0.0,0,0,0.6
Jerick McKinnon (FA),2020,5,1,0,0.0,0,0,0,2,4,5,2.5,0,0,0.5
Andy Janovich (FA),2020,5,2,4,2.0,2,0,0,0,0,0,0.0,0,0,0.4
