,,,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,MISC,STANDARD
Nick Chubb (CLE),2019,1,17,75,4.4,15,0,0,3,4,10,3.3,0,0,8.5
Carlos Hyde (FA),2019,1,10,83,8.3,20,1,0,1,1,2,2.0,0,0,8.5
Rex Burkhead (FA),2019,1,8,44,5.5,11,0,0,5,8,41,8.2,0,0,8.5
Darren Sproles (FA),2019,1,9,47,5.2,17,0,0,3,3,16,5.3,0,0,8.3
James White (FA),2019,1,4,26,6.5,9,0,0,5,7,56,11.2,0,0,8.2
Chris Thompson (FA),2019,1,3,10,3.3,7,0,0,7,10,68,9.7,0,0,7.8
Dontrell Hilliard (FA),2019,1,1,4,4.0,4,0,1,1,2,14,14.0,0,0,7.8
Leonard Fournette (FA),2019,1,13,66,5.1,14,0,0,4,6,28,7.0,0,1,7.4
Phillip Lindsay (FA),2019,1,11,43,3.9,9,0,0,4,6,23,5.8,0,0,6.6
James Conner (ARI),2019,1,10,21,2.1,5,0,0,4,4,44,11.0,0,0,6.5
Giovani Bernard (FA),2019,1,7,21,3.0,11,0,0,2,3,42,21.0,0,0,6.3
Kerryon Johnson (FA),2019,1,16,49,3.1,9,0,0,2,2,13,6.5,0,0,6.2
Alex Armah Jr. (WAS),2019,1,1,1,1.0,1,0,1,0,0,0,0.0,0,0,6.1
Patrick Ricard (BAL),2019,1,0,0,0.0,0,0,0,1,1,1,1.0,1,0,6.1
Royce Freeman (FA),2019,1,10,56,5.6,26,1,0,1,1,5,5.0,0,0,6.1
Justin Jackson (FA),2019,1,6,57,9.5,24,2,0,1,3,4,4.0,0,0,6.1
Gus Edwards (BAL),2019,1,17,56,3.3,11,0,0,0,0,0,0.0,0,0,5.6
Tevin Coleman (FA),2019,1,6,23,3.8,12,0,0,2,3,33,16.5,0,0,5.6
Jordan Howard (FA),2019,1,6,44,7.3,17,0,0,2,3,11,5.5,0,0,5.5
Tarik Cohen (FA),2019,1,0,0,0.0,0,0,0,8,10,49,6.1,0,0,4.9
Alexander Mattison (MIN),2019,1,9,49,5.4,23,1,0,0,0,0,0.0,0,0,4.9
David Montgomery (DET),2019,1,6,18,3.0,6,0,0,1,1,27,27.0,0,0,4.5
Peyton Barber (FA),2019,1,8,33,4.1,14,0,0,2,4,12,6.0,0,0,4.5
Raheem Mostert (MIA),2019,1,9,40,4.4,18,0,0,1,1,0,0.0,0,0,4.0
Ito Smith (FA),2019,1,6,31,5.2,16,0,0,1,1,9,9.0,0,0,4.0
Aaron Jones (GB),2019,1,13,39,3.0,9,0,0,1,1,0,0.0,0,0,3.9
Derrius Guice (FA),2019,1,10,18,1.8,5,0,0,3,3,20,6.7,0,0,3.8
Matt Breida (NYG),2019,1,15,37,2.5,13,0,0,0,1,0,0.0,0,0,3.7
D'Ernest Johnson (JAC),2019,1,1,13,13.0,13,0,0,2,2,23,11.5,0,0,3.6
Mike Davis (FA),2019,1,5,19,3.8,8,0,0,6,7,17,2.8,0,0,3.6
C.J. Anderson (FA),2019,1,11,35,3.2,9,0,0,0,0,0,0.0,0,0,3.5
Dare Ogunbowale (HOU),2019,1,0,0,0.0,0,0,0,4,5,33,8.3,0,0,3.3
Kenyan Drake (FA),2019,1,4,12,3.0,9,0,0,2,3,15,7.5,0,0,2.7
Justice Hill (BAL),2019,1,7,27,3.9,13,0,0,0,0,0,0.0,0,0,2.7
Miles Sanders (CAR),2019,1,11,25,2.3,19,0,0,1,2,2,2.0,0,0,2.7
J.D. McKissic (FA),2019,1,0,0,0.0,0,0,0,2,2,24,12.0,0,0,2.4
Tony Pollard (DAL),2019,1,13,24,1.8,6,0,0,0,0,0,0.0,0,0,2.4
Frank Gore (FA),2019,1,11,20,1.8,9,0,0,0,0,0,0.0,0,0,2.0
Rashaad Penny (PHI),2019,1,6,18,3.0,5,0,0,0,0,0,0.0,0,0,1.8
Nyheim Hines (BUF),2019,1,4,13,3.3,6,0,0,4,4,4,1.0,0,0,1.7
Joe Mixon (CIN),2019,1,6,10,1.7,6,0,0,2,3,7,3.5,0,0,1.7
Anthony Sherman (FA),2019,1,0,0,0.0,0,0,0,1,1,15,15.0,0,0,1.5
Jamaal Williams (NO),2019,1,5,0,0.0,5,0,0,2,2,15,7.5,0,0,1.5
Sony Michel (FA),2019,1,15,14,0.9,5,0,0,0,0,0,0.0,0,0,1.4
Dion Lewis (FA),2019,1,3,7,2.3,6,0,0,3,4,6,2.0,0,0,1.3
Kalen Ballage (FA),2019,1,5,-1,-0.2,6,0,0,1,1,13,13.0,0,0,1.2
Devonta Freeman (FA),2019,1,8,19,2.4,5,0,0,3,4,12,4.0,0,1,1.1
Patrick DiMarco (FA),2019,1,0,0,0.0,0,0,0,2,2,9,4.5,0,0,0.9
DeAndre Washington (FA),2019,1,2,8,4.0,7,0,0,0,0,0,0.0,0,0,0.8
Ameer Abdullah (LV),2019,1,2,8,4.0,6,0,0,0,0,0,0.0,0,0,0.8
Ryquell Armstead (FA),2019,1,1,7,7.0,7,0,0,0,1,0,0.0,0,0,0.7
Brandon Bolden (LV),2019,1,1,7,7.0,7,0,0,0,0,0,0.0,0,0,0.7
Ty Johnson (NYJ),2019,1,1,6,6.0,6,0,0,0,0,0,0.0,0,0,0.6
Jaylen Samuels (FA),2019,1,2,4,2.0,2,0,0,1,2,2,2.0,0,0,0.6
Chase Edmonds (TB),2019,1,1,5,5.0,5,0,0,0,1,0,0.0,0,0,0.5
Derek Watt (FA),2019,1,2,4,2.0,2,0,0,0,0,0,0.0,0,0,0.4
Ty Montgomery (NE),2019,1,2,4,2.0,2,0,0,0,0,0,0.0,0,0,0.4
Darwin Thompson (SEA),2019,1,0,0,0.0,0,0,0,1,1,3,3.0,0,0,0.3
Elijhaa Penny (FA),2019,1,2,3,1.5,2,0,0,0,0,0,0.0,0,0,0.3
Jalen Richard (FA),2019,1,1,3,3.0,3,0,0,0,0,0,0.0,0,0,0.3
Mark Walton (FA),2019,1,1,1,1.0,1,0,0,0,0,0,0.0,0,0,0.1
Andrew Beck (HOU),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Cullen Gillaspia (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Chandler Cox (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Travis Homer (CHI),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
De'Lance Turner (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Benny Snell Jr. (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Jordan Scarlett (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Darrell Henderson Jr. (FA),2019,1,1,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Alec Ingold (MIA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Jeff Wilson Jr. (MIA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Nick Bellore (SEA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
DuJuan Harris (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Chris Ivory (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Bilal Powell (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Taiwan Jones (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Stevan Ridley (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Lamar Miller (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Cordarrelle Patterson (ATL),2019,1,1,-2,-2.0,0,0,0,1,3,3,3.0,0,0,0.0
Kyle Juszczyk (SF),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Kenjon Barner (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Christine Michael (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Mike Gillislee (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Robert Turbin (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Jamize Olawale (FA),2019,1,0,0,0.0,0,0,0,0,1,0,0.0,0,0,0.0
Travaris Cadet (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
LeGarrette Blount (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Jamaal Charles (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Jonathan Stewart (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Adrian Peterson (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Marshawn Lynch (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Troymaine Pope (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Tre Madden (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
C.J. Ham (MIN),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
T.J. Logan (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Joe Williams (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Corey Clement (ARI),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Kareem Hunt (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Samaje Perine (DEN),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
J.P. Holtz (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
C.J. Prosise (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Andy Janovich (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
D.J. Foster (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Wendell Smallwood (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Tyler Ervin (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Kenneth Dixon (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Devontae Booker (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Alex Collins (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Tra Carson (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Danny Vitale (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Dwayne Washington (NO),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Trenton Cannon (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Buddy Howell (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Nick Bawden (NYJ),2019,1,0,0,0.0,0,0,0,1,1,0,0.0,0,0,0.0
Detrez Newsome (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Darrel Williams (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Jordan Wilkins (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Jason Cabinda (DET),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Reggie Bonnafon (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Donnie Ernsberger (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Mike Boone (HOU),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Jordan Chunn (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
John Kelly Jr. (CLE),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Ricky Ortiz (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Justin Davis (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Lavon Coleman (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Trey Edmunds (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Keith Smith (ATL),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Jeremy Hill (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Derrick Coleman (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
James Develin (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Zach Line (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
David Fluellen (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Michael Burton (DEN),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Zach Zenner (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Rod Smith (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Roosevelt Nix (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Javorius Allen (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Jeremy Langford (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Cameron Artis-Payne (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
T.J. Yeldon (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Jay Ajayi (FA),2019,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Dalvin Cook (MIN),2019,2,20,154,7.7,75,4,1,3,3,37,12.3,0,0,25.1
Raheem Mostert (MIA),2019,2,13,83,6.4,20,1,0,3,4,68,22.7,1,0,21.1
Aaron Jones (GB),2019,2,23,116,5.0,15,0,1,4,6,34,8.5,0,0,21.0
Saquon Barkley (NYG),2019,2,18,107,5.9,27,1,1,3,7,28,9.3,0,0,19.5
Ezekiel Elliott (FA),2019,2,23,111,4.8,27,1,1,2,2,9,4.5,0,0,18.0
Austin Ekeler (LAC),2019,2,17,66,3.9,12,0,1,6,6,67,11.2,0,1,17.3
Nick Chubb (CLE),2019,2,18,62,3.4,19,0,1,4,4,36,9.0,0,0,15.8
Derrick Henry (TEN),2019,2,15,82,5.5,18,0,1,2,3,12,6.0,0,0,15.4
Jeff Wilson Jr. (MIA),2019,2,10,34,3.4,14,0,2,0,0,0,0.0,0,0,15.4
Peyton Barber (FA),2019,2,23,82,3.6,16,0,1,1,1,7,7.0,0,0,14.9
Kerryon Johnson (FA),2019,2,12,41,3.4,9,0,0,2,3,47,23.5,1,0,14.8
Frank Gore (FA),2019,2,19,68,3.6,9,0,1,2,2,15,7.5,0,0,14.3
Matt Breida (NYG),2019,2,12,121,10.1,34,2,0,1,1,11,11.0,0,0,13.2
David Montgomery (DET),2019,2,18,62,3.4,12,0,1,1,3,6,6.0,0,0,12.8
Todd Gurley II (FA),2019,2,16,63,3.9,20,1,1,3,4,4,1.3,0,0,12.7
Rashaad Penny (PHI),2019,2,10,62,6.2,37,2,1,1,1,3,3.0,0,0,12.5
Sony Michel (FA),2019,2,21,83,4.0,12,0,1,0,0,0,0.0,0,1,12.3
Devin Singletary (HOU),2019,2,6,57,9.5,20,1,1,0,0,0,0.0,0,0,11.7
Le'Veon Bell (FA),2019,2,21,68,3.2,8,0,0,10,10,61,6.1,0,1,10.9
James Conner (ARI),2019,2,11,33,3.0,14,0,1,3,4,12,4.0,0,0,10.5
Royce Freeman (FA),2019,2,11,54,4.9,14,0,0,5,7,48,9.6,0,0,10.2
Jamaal Williams (NO),2019,2,9,28,3.1,10,0,0,3,4,13,4.3,1,0,10.1
Josh Jacobs (LV),2019,2,12,99,8.3,51,4,0,0,0,0,0.0,0,0,9.9
Adrian Peterson (FA),2019,2,10,25,2.5,10,0,1,2,2,7,3.5,0,0,9.2
Carlos Hyde (FA),2019,2,20,90,4.5,14,0,0,0,0,0,0.0,0,0,9.0
James White (FA),2019,2,3,10,3.3,5,0,0,3,4,19,6.3,1,0,8.9
Leonard Fournette (FA),2019,2,15,47,3.1,14,0,0,4,6,40,10.0,0,0,8.7
Jordan Wilkins (FA),2019,2,5,82,16.4,55,4,0,1,1,4,4.0,0,0,8.6
Mark Ingram II (FA),2019,2,13,47,3.6,16,0,0,2,2,30,15.0,0,0,7.7
David Johnson (FA),2019,2,7,14,2.0,4,0,1,1,1,0,0.0,0,0,7.4
Rex Burkhead (FA),2019,2,5,21,4.2,12,0,0,2,2,47,23.5,0,0,6.8
Chris Carson (FA),2019,2,15,60,4.0,21,1,0,3,3,27,9.0,0,1,6.7
Phillip Lindsay (FA),2019,2,13,36,2.8,9,0,0,4,7,30,7.5,0,0,6.6
Justin Jackson (FA),2019,2,7,59,8.4,40,3,0,1,1,5,5.0,0,0,6.4
Devonta Freeman (FA),2019,2,11,22,2.0,9,0,0,3,4,42,14.0,0,0,6.4
Marlon Mack (FA),2019,2,20,51,2.6,10,0,0,2,3,12,6.0,0,0,6.3
Alvin Kamara (NO),2019,2,13,45,3.5,12,0,0,1,3,15,15.0,0,0,6.0
Damien Williams (FA),2019,2,9,8,0.9,5,0,0,3,5,48,16.0,0,0,5.6
Christian McCaffrey (SF),2019,2,16,37,2.3,10,0,0,2,6,16,8.0,0,0,5.3
Chris Thompson (FA),2019,2,2,3,1.5,2,0,0,5,8,48,9.6,0,0,5.1
D'Ernest Johnson (JAC),2019,2,3,8,2.7,6,0,0,3,4,42,14.0,0,0,5.0
Kenyan Drake (FA),2019,2,6,19,3.2,9,0,0,5,6,29,5.8,0,0,4.8
Malcolm Brown (FA),2019,2,6,37,6.2,13,0,0,1,1,10,10.0,0,0,4.7
Ito Smith (FA),2019,2,4,32,8.0,28,1,0,2,3,13,6.5,0,0,4.5
Ty Montgomery (NE),2019,2,3,25,8.3,15,0,0,3,3,15,5.0,0,0,4.0
Miles Sanders (CAR),2019,2,10,28,2.8,5,0,0,3,4,9,3.0,0,0,3.7
Ty Johnson (NYJ),2019,2,5,30,6.0,17,0,0,2,2,6,3.0,0,0,3.6
DeAndre Washington (FA),2019,2,3,9,3.0,4,0,0,2,2,26,13.0,0,0,3.5
Jaylen Samuels (FA),2019,2,3,18,6.0,7,0,0,1,1,13,13.0,0,0,3.1
Duke Johnson Jr. (FA),2019,2,6,31,5.2,19,0,0,0,1,0,0.0,0,0,3.1
Mark Walton (FA),2019,2,3,15,5.0,6,0,0,1,2,12,12.0,0,0,2.7
Joe Mixon (CIN),2019,2,11,17,1.5,9,0,0,3,5,10,3.3,0,0,2.7
Jordan Howard (FA),2019,2,8,18,2.3,5,0,0,1,1,8,8.0,0,0,2.6
Alexander Mattison (MIN),2019,2,4,25,6.3,14,0,0,0,0,0,0.0,0,0,2.5
Tony Pollard (DAL),2019,2,4,22,5.5,10,0,0,1,1,3,3.0,0,0,2.5
Tarik Cohen (FA),2019,2,4,18,4.5,9,0,0,2,5,7,3.5,0,0,2.5
LeSean McCoy (FA),2019,2,11,23,2.1,6,0,0,3,3,0,0.0,0,0,2.3
Benny Snell Jr. (FA),2019,2,1,23,23.0,23,1,0,0,0,0,0.0,0,0,2.3
Latavius Murray (FA),2019,2,5,7,1.4,4,0,0,1,1,16,16.0,0,0,2.3
C.J. Prosise (FA),2019,2,2,7,3.5,5,0,0,3,3,13,4.3,0,0,2.0
Chase Edmonds (TB),2019,2,1,2,2.0,2,0,0,2,2,15,7.5,0,0,1.7
Dion Lewis (FA),2019,2,3,9,3.0,4,0,0,1,1,5,5.0,0,0,1.4
Justice Hill (BAL),2019,2,1,4,4.0,4,0,0,1,2,10,10.0,0,0,1.4
Nyheim Hines (BUF),2019,2,2,9,4.5,5,0,0,1,2,5,5.0,0,0,1.4
Giovani Bernard (FA),2019,2,6,6,1.0,5,0,0,1,3,7,7.0,0,0,1.3
Wendell Smallwood (FA),2019,2,1,4,4.0,4,0,0,2,2,9,4.5,0,0,1.3
Kalen Ballage (FA),2019,2,4,6,1.5,3,0,0,1,5,6,6.0,0,0,1.2
Gus Edwards (BAL),2019,2,3,11,3.7,4,0,0,0,0,0,0.0,0,0,1.1
Kyle Juszczyk (SF),2019,2,1,6,6.0,6,0,0,1,2,5,5.0,0,0,1.1
Dare Ogunbowale (HOU),2019,2,0,0,0.0,0,0,0,1,1,9,9.0,0,0,0.9
Ronald Jones II (DAL),2019,2,4,9,2.3,12,0,0,0,0,0,0.0,0,0,0.9
C.J. Anderson (FA),2019,2,5,8,1.6,7,0,0,0,0,0,0.0,0,0,0.8
Darren Sproles (FA),2019,2,0,0,0.0,0,0,0,2,3,5,2.5,0,0,0.5
Jalen Richard (FA),2019,2,2,3,1.5,3,0,0,2,3,2,1.0,0,0,0.5
Patrick DiMarco (FA),2019,2,1,1,1.0,1,0,0,1,1,3,3.0,0,0,0.4
James Develin (FA),2019,2,2,3,1.5,2,0,0,0,0,0,0.0,0,0,0.3
Patrick Ricard (BAL),2019,2,0,0,0.0,0,0,0,1,1,3,3.0,0,0,0.3
Derek Watt (FA),2019,2,0,0,0.0,0,0,0,1,2,3,3.0,0,0,0.3
J.D. McKissic (FA),2019,2,2,2,1.0,4,0,0,0,0,0,0.0,0,0,0.2
Ameer Abdullah (LV),2019,2,1,2,2.0,2,0,0,0,0,0,0.0,0,0,0.2
Darwin Thompson (SEA),2019,2,1,1,1.0,1,0,0,0,0,0,0.0,0,0,0.1
Mike Davis (FA),2019,2,3,1,0.3,2,0,0,0,0,0,0.0,0,0,0.1
Andrew Beck (HOU),2019,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Cullen Gillaspia (FA),2019,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Chandler Cox (FA),2019,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Travis Homer (CHI),2019,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Alec Ingold (MIA),2019,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Ryquell Armstead (FA),2019,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Patrick Laird (TB),2019,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Nick Bellore (SEA),2019,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Anthony Sherman (FA),2019,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Cordarrelle Patterson (ATL),2019,2,2,50,25.0,46,3,0,0,0,0,0.0,0,0,0.0
Kenjon Barner (FA),2019,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Jamize Olawale (FA),2019,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
C.J. Ham (MIN),2019,2,0,0,0.0,0,0,0,0,2,0,0.0,0,0,0.0
Elijhaa Penny (FA),2019,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
T.J. Logan (FA),2019,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Samaje Perine (DEN),2019,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Wayne Gallman Jr. (FA),2019,2,0,0,0.0,0,0,0,0,1,0,0.0,0,0,0.0
D.J. Foster (FA),2019,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Tyler Ervin (FA),2019,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Devontae Booker (FA),2019,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Danny Vitale (FA),2019,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Dwayne Washington (NO),2019,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Buddy Howell (FA),2019,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Nick Bawden (NYJ),2019,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Trenton Cannon (FA),2019,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Darrel Williams (FA),2019,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Reggie Bonnafon (FA),2019,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Mike Boone (HOU),2019,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Alex Armah Jr. (WAS),2019,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Keith Smith (ATL),2019,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Zach Line (FA),2019,2,0,0,0.0,0,0,0,0,1,0,0.0,0,0,0.0
T.J. Yeldon (FA),2019,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Corey Clement (ARI),2019,2,0,0,0.0,0,0,0,0,0,0,0.0,0,1,-2.0
Mark Ingram II (FA),2019,3,16,103,6.4,21,1,3,4,4,32,8.0,0,0,31.5
Alvin Kamara (NO),2019,3,16,69,4.3,16,0,1,9,10,92,10.2,1,0,28.1
