,,,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,MISC,STANDARD
Player,Season,Week,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,FPTS
Chuba Hubbard (CAR),2022,2,0,0,0.0,0,0,0,0,0,0,0.0,0,1,-2.0
Khalil Herbert (CHI),2022,3,20,157,7.9,52,4,2,2,2,12,6.0,0,0,28.9
Jamaal Williams (NO),2022,3,20,87,4.4,15,0,2,2,2,20,10.0,0,0,22.7
Cordarrelle Patterson (ATL),2022,3,17,141,8.3,40,3,1,1,1,12,12.0,0,0,21.3
Derrick Henry (TEN),2022,3,20,85,4.3,24,1,1,5,6,58,11.6,0,0,20.3
Saquon Barkley (NYG),2022,3,14,81,5.8,36,2,1,4,4,45,11.3,0,0,18.6
James Robinson (NE),2022,3,17,100,5.9,50,5,1,3,3,16,5.3,0,0,17.6
Nick Chubb (CLE),2022,3,23,113,4.9,36,2,1,0,1,0,0.0,0,0,17.3
Dameon Pierce (HOU),2022,3,20,80,4.0,24,1,1,2,2,21,10.5,0,0,16.1
Rhamondre Stevenson (NE),2022,3,12,73,6.1,18,0,1,4,5,28,7.0,0,0,16.1
Devin Singletary (HOU),2022,3,9,13,1.4,6,0,0,9,11,78,8.7,1,0,15.1
Chase Edmonds (TB),2022,3,6,21,3.5,8,0,2,1,1,6,6.0,0,0,14.7
Dalvin Cook (MIN),2022,3,17,96,5.6,13,0,1,0,0,0,0.0,0,1,13.6
Ezekiel Elliott (FA),2022,3,15,73,4.9,27,1,1,1,1,2,2.0,0,0,13.5
Samaje Perine (DEN),2022,3,9,47,5.2,7,0,0,2,2,14,7.0,1,0,12.1
Christian McCaffrey (SF),2022,3,25,108,4.3,18,0,0,2,4,7,3.5,0,0,11.5
Melvin Gordon III (FA),2022,3,12,26,2.2,6,0,1,5,6,29,5.8,0,0,11.5
Damien Harris (BUF),2022,3,11,41,3.7,10,0,1,2,3,5,2.5,0,0,10.6
Tony Pollard (DAL),2022,3,13,105,8.1,46,3,0,0,1,0,0.0,0,0,10.5
Alexander Mattison (MIN),2022,3,7,28,4.0,9,0,1,1,1,16,16.0,0,0,10.4
Najee Harris (PIT),2022,3,15,56,3.7,10,0,1,3,3,5,1.7,0,1,10.1
Cam Akers (LAR),2022,3,12,61,5.1,14,0,1,0,0,0,0.0,0,1,10.1
Antonio Gibson (WAS),2022,3,12,38,3.2,11,0,1,1,1,2,2.0,0,0,10.0
Clyde Edwards-Helaire (KC),2022,3,7,0,0.0,4,0,1,5,5,39,7.8,0,0,9.9
Josh Jacobs (LV),2022,3,13,66,5.1,13,0,0,5,5,31,6.2,0,0,9.7
Breece Hall (NYJ),2022,3,8,39,4.9,16,0,0,6,11,53,8.8,0,0,9.2
Jonathan Taylor (IND),2022,3,21,71,3.4,13,0,0,3,5,20,6.7,0,0,9.1
Jeff Wilson Jr. (MIA),2022,3,12,75,6.3,37,2,0,3,3,31,10.3,0,1,8.6
Mark Ingram II (FA),2022,3,5,18,3.6,7,0,1,0,0,0,0.0,0,0,7.8
Travis Etienne Jr. (JAC),2022,3,13,45,3.5,9,0,0,3,3,30,10.0,0,0,7.5
Leonard Fournette (FA),2022,3,12,35,2.9,6,0,0,5,6,35,7.0,0,0,7.0
Rashaad Penny (PHI),2022,3,14,66,4.7,14,0,0,1,1,3,3.0,0,0,6.9
Kareem Hunt (FA),2022,3,12,47,3.9,11,0,0,3,4,14,4.7,0,0,6.1
Javonte Williams (DEN),2022,3,15,58,3.9,16,0,0,3,5,2,0.7,0,0,6.0
Justice Hill (BAL),2022,3,6,60,10.0,34,2,0,0,0,0,0.0,0,0,6.0
James Conner (ARI),2022,3,13,39,3.0,10,0,0,3,5,18,6.0,0,0,5.7
Austin Ekeler (LAC),2022,3,4,5,1.3,3,0,0,8,8,48,6.0,0,0,5.3
Alvin Kamara (NO),2022,3,15,61,4.1,27,1,0,2,7,12,6.0,0,1,5.3
Zack Moss (IND),2022,3,4,46,11.5,43,3,0,1,1,6,6.0,0,0,5.2
D'Andre Swift (DET),2022,3,7,31,4.4,9,0,0,3,4,15,5.0,0,0,4.6
Michael Carter (NYJ),2022,3,11,39,3.5,9,0,0,1,2,7,7.0,0,0,4.6
Miles Sanders (CAR),2022,3,15,46,3.1,13,0,0,1,1,-2,-2.0,0,0,4.4
Dontrell Hilliard (FA),2022,3,2,14,7.0,10,0,0,1,1,30,30.0,0,0,4.4
James Cook (BUF),2022,3,1,3,3.0,3,0,0,4,5,37,9.3,0,0,4.0
