Player,TEAM,POS,DPCHT,G,FG,FG_mean,FGA,FGA_mean,FG_PCT,LG,LG_mean,FG_10_19,FG_10_19_mean,FG_20_29,FG_20_29_mean,FG_30_39,FG_30_39_mean,FG_40_49,FG_40_49_mean,FG_50,FG_50_mean,XP,XP_mean,XPA,XPA_mean,XP_PCT,OPP,OPP_mean,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Dan Bailey ,FA,K,14.0,16,15,0.94,22,1.38,0.68,53,23.19,0,0.0,6,0.38,3,0.19,4,0.25,2,0.12,37,2.31,43,2.69,0.86,109,6.81,1.0,90.0,5.62,5.5,3.2,5.25,4,7,5,0,0,0.45,0.0,5.75,90.0,5.62,5.5,3.2,5.25,4,7,5,0,0,0.45,0.0,5.75,90.0,5.62,5.5,3.2,5.25,4,7,5,0,0,0.45,0.0,5.75
Sam Ficken ,FA,K,15.0,9,13,1.44,15,1.67,0.87,54,25.0,0,0.0,5,0.56,6,0.67,1,0.11,1,0.11,12,1.33,15,1.67,0.8,60,6.67,0.93,54.0,6.0,5.0,5.66,4.86,3,3,2,0,1,0.5,0.33,5.04,54.0,6.0,5.0,5.66,4.86,3,3,2,0,1,0.5,0.33,5.04,54.0,6.0,5.0,5.66,4.86,3,3,2,0,1,0.5,0.33,5.04
Mike Nugent ,FA,K,7.0,4,7,1.75,8,2.0,0.88,43,30.0,0,0.0,1,0.25,4,1.0,2,0.5,0,0.0,7,1.75,7,1.75,1.0,31,7.75,0.65,30.0,7.5,7.5,5.32,6.17,1,1,1,1,0,1.0,1.0,4.97,30.0,7.5,7.5,5.32,6.17,1,1,1,1,0,1.0,1.0,4.97,30.0,7.5,7.5,5.32,6.17,1,1,1,1,0,1.0,1.0,4.97
Josh Lambo ,FA,K,17.0,4,5,1.25,5,1.25,1.0,59,36.0,0,0.0,0,0.0,2,0.5,1,0.25,2,0.5,8,2.0,10,2.5,0.8,25,6.25,0.65,28.0,7.0,7.5,4.69,5.94,1,1,1,1,0,1.0,1.0,4.81,28.0,7.0,7.5,4.69,5.94,1,1,1,1,0,1.0,1.0,4.81,28.0,7.0,7.5,4.69,5.94,1,1,1,1,0,1.0,1.0,4.81
Aldrick Rosas ,FA,K,11.5,6,8,1.33,11,1.83,0.73,54,30.5,0,0.0,3,0.5,2,0.33,0,0.0,3,0.5,9,1.5,9,1.5,1.0,42,7.0,0.78,39.0,6.5,5.5,4.93,5.45,2,2,1,1,0,0.5,0.5,4.7,39.0,6.5,5.5,4.93,5.45,2,2,1,1,0,0.5,0.5,4.7,39.0,6.5,5.5,4.93,5.45,2,2,1,1,0,0.5,0.5,4.7
Jake Elliott ,PHI,K,1.0,16,14,0.88,19,1.19,0.74,54,28.44,0,0.0,1,0.06,6,0.38,5,0.31,2,0.12,24,1.5,26,1.62,0.92,83,5.19,1.0,75.0,4.69,4.5,3.22,4.37,5,10,0,1,0,0.07,0.2,4.59,75.0,4.69,4.5,3.22,4.37,5,10,0,1,0,0.07,0.2,4.59,75.0,4.69,4.5,3.22,4.37,5,10,0,1,0,0.07,0.2,4.59
Sergio Castillo ,NYJ,K,2.0,6,8,1.33,13,2.17,0.62,55,36.17,0,0.0,1,0.17,3,0.5,2,0.33,2,0.33,6,1.0,7,1.17,0.86,46,7.67,0.78,36.0,6.0,4.0,4.34,5.19,2,2,1,1,0,0.5,0.5,4.13,36.0,6.0,4.0,4.34,5.19,2,2,1,1,0,0.5,0.5,4.13,36.0,6.0,4.0,4.34,5.19,2,2,1,1,0,0.5,0.5,4.13
Matthew Wright ,FA,K,16.0,3,4,1.33,4,1.33,1.0,46,27.67,0,0.0,1,0.33,1,0.33,2,0.67,0,0.0,7,2.33,7,2.33,1.0,19,6.33,0.56,21.0,7.0,5.0,4.36,6.05,0,2,0,1,0,0.5,1.0,3.41,21.0,7.0,5.0,4.36,6.05,0,2,0,1,0,0.5,1.0,3.41,21.0,7.0,5.0,4.36,6.05,0,2,0,1,0,0.5,1.0,3.41
Austin Seibert ,FA,K,9.0,5,6,1.2,9,1.8,0.67,48,24.0,0,0.0,0,0.0,5,1.0,1,0.2,0,0.0,8,1.6,9,1.8,0.89,36,7.2,0.72,27.0,5.4,3.0,5.94,4.32,3,0,1,1,0,0.67,0.33,3.19,27.0,5.4,3.0,5.94,4.32,3,0,1,1,0,0.67,0.33,3.19,27.0,5.4,3.0,5.94,4.32,3,0,1,1,0,0.67,0.33,3.19
Chase McLaughlin ,FA,K,19.0,4,4,1.0,5,1.25,0.8,52,28.75,0,0.0,1,0.25,1,0.25,1,0.25,1,0.25,5,1.25,6,1.5,0.83,21,5.25,0.65,20.0,5.0,4.0,3.46,4.58,1,2,1,0,0,0.33,0.0,2.95,20.0,5.0,4.0,3.46,4.58,1,2,1,0,0,0.33,0.0,2.95,20.0,5.0,4.0,3.46,4.58,1,2,1,0,0,0.33,0.0,2.95
Kai Forbath ,LAR,K,1.0,2,2,1.0,3,1.5,0.67,23,23.0,0,0.0,2,1.0,0,0.0,0,0.0,0,0.0,4,2.0,5,2.5,0.8,14,7.0,0.44,10.0,5.0,5.0,0.0,5.0,0,2,0,0,0,0.0,0.0,2.3,10.0,5.0,5.0,0.0,5.0,0,2,0,0,0,0.0,0.0,2.3,10.0,5.0,5.0,0.0,5.0,0,2,0,0,0,0.0,0.0,2.3
Jonathan Brown ,FA,K,11.5,1,1,1.0,2,2.0,0.5,31,31.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,1,1.0,1,1.0,1.0,7,7.0,0.28,4.0,4.0,4.0,0.0,0.0,0,1,0,0,0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0,1,0,0,0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0,1,0,0,0,0.0,0.0,0.0
Stephen Hauschka ,FA,K,6.0,1,0,0.0,2,2.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,2.0,2,2.0,1.0,8,8.0,0.28,2.0,2.0,2.0,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0
Taylor Russolino ,FA,K,18.0,1,0,0.0,1,1.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,3,3.0,0.33,6,6.0,0.28,1.0,1.0,1.0,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0
Tristan Vizcaino ,DAL,K,1.0,1,3,3.0,3,3.0,1.0,47,47.0,0,0.0,0,0.0,2,2.0,1,1.0,0,0.0,2,2.0,2,2.0,1.0,11,11.0,0.28,12.0,12.0,12.0,0.0,0.0,0,0,0,1,0,1.0,1.0,0.0,12.0,12.0,12.0,0.0,0.0,0,0,0,1,0,1.0,1.0,0.0,12.0,12.0,12.0,0.0,0.0,0,0,0,1,0,1.0,1.0,0.0
Elliott Fry ,ARI,K,2.0,1,1,1.0,1,1.0,1.0,23,23.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,1,1.0,2,2.0,0.5,5,5.0,0.28,4.0,4.0,4.0,0.0,0.0,0,1,0,0,0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0,1,0,0,0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0,1,0,0,0,0.0,0.0,0.0
Brandon Wright ,FA,K,20.0,1,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,2,2.0,0.5,2,2.0,0.28,1.0,1.0,1.0,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0
Ty Long ,FA,K,21.0,16,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,1.0,-2.8,-0.18,0.0,0.7,-0.24,16,0,0,0,0,0.0,0.0,-0.11,-2.8,-0.18,0.0,0.7,-0.24,16,0,0,0,0,0.0,0.0,-0.11,-2.8,-0.18,0.0,0.7,-0.24,16,0,0,0,0,0.0,0.0,-0.11
